no,sport name
320,Gliding — an air sport in which pilots use an unpowered aircraft.
321,"Glima — a belt wrestling style from Scandinavia, based on a popular sport of the Vikings from over 1200 years ago."
322,Goalball — a Paralympic sport for blind athletes using a ball with bells.
323,"Golf — players use a club to hit balls into a series of holes on a course, using the fewest number of strokes."
324,"Golf Croquet — a popular form of croquet in which each player takes a stroke in turn, trying to hit a ball through the same hoop."
325,"Gorodki — a folk sport from Russia, where competitors strike down a group of cylindrical wooden objects by throwing a bat."
326,Grass Skiing — involves skiing on grass-covered slopes on skis with wheels.
327,"Greco-Roman Wrestling — In this wrestling style, competitors are prohibited from holding any part of the opponent’s body below the waist."
328,Greyhound Racing — a dog sport also called Dog Racing.
329,Gridiron Football — the term used outside of the US for American Football.
330,"Guts — a disc sport derived from dodgeball, where players try to strike their opponents with a frisbee."
331,Gymkhana — a multi-game equestrian event which is performed to display the talents of the horses and their riders.
332,"Gymnastics — a range of sports combining tumbling and acrobatic feats, usually done with apparatus. Two main sports: Rhythmic Gymnastics and Artistic Gymnastics."
333,Half-Pipe Skiing — athletes perform tricks while riding on a half-pipe wearing snow skis.
334,Hammer throw — an Olympic track and field event in which a heavy weight at the end of a wire is thrown for distance.
335,"Handball — a sport usually played indoors between teams of seven players, who pass a ball to throw it into the goal of the other team. Also known as Team Handball, Olympic Handball, European (Team) handball or Borden Ball. Variations include Beach Handball, Czech Handball and Field Handball."
336,Hang Gliding — a type of air sport in which the rider flies a non-motorized aircraft called a hang glider.
337,"Hardball Squash — like the indoor court sport of squash, but with a much harder ball."
338,Hare Coursing — hares are chased by greyhounds using their sight rather than scent. (not a sport).
339,Harness Racing  — horses trot or pace while pulling a driver in a sulky.
340,"Headis — combining table tennis and soccer, players use their heads to hit a soccer ball across the table tennis table and net."
341,Heptathlon — a women's track and field multi-event comprising 7 events.
342,High Diving — athletes dive into water from considerably large heights.
343,High Jump — an Olympic Track and Field event in which the participants attempt to jump over the highest bar.
344,High Power Rifle — shooting competition using rifles such as the service rifle.
345,"Hill Climb — riding on a motorcycle, one competitor at a time attempts to ride up a very steep hill. The rider to reach the top (if anyone makes it) with the shortest elapsed time wins. There is also a car version of this sport, Hillclimbing."
346,Hillclimbing — car drivers race on an uphill course in a time trial format.
347,Hitball — an indoor team sport from Italy in which players strike the volleyball sized ball into the opponent’s goal post only using the upper limbs.
348,Hockey — a large range of indoor and outdoor team sports which involves hitting a ball into a net. See Ice Hockey and Field Hockey.
349,"Horizontal Bar — artistic gymnastics event also known as high bar, where athletes perform aerial stunts on a horizontal bar."
350,"Hornussen — a traditional Swiss sport (farmer's golf), where the hornusser knocks a nut through the air with a long flexible rod."
351,Horse Polo — the traditional polo sport. Polo is also played on other animals such as Elephants and Yaks.
352,Horse Pulling — one or two horses harnessed to a weighted sled pull for the greatest distance.
353,Horse Racing — equestrian sport which involves jockeys riding horses or being pulled along by horses.
354,"Horse Soccer — a variation of Pushball, a team sport where an inflated ball is driven through a goal while riding a horse."
355,"Horseball — like a combination of Polo, Rugby and Basketball, played on horseback where a ball is carried and shot through a high net to score. A similar sport is Pato."
356,Horseback Archery — shooting arrows at targets while riding a horse.
357,Horseshoes — players toss horseshoes at stakes in the ground.
358,Hot Air Ballooning — see Ballooning.
359,"Hovercraft Racing — racing events usually done on tracks, just like auto racing, but part of the track is water and there is some part which is grass."
360,Hunting — an activity which involves tracking and killing animals with various weapons (not a sport?).
361,Hurdles (Track and Field) — a track and field sport which involves running and jumping over obstacles at speed.
362,Hurling — a Gaelic outdoor team sport where players use a wooden stick to hit a ball between the opposing team's goalposts.
363,Hydroplane Racing — racing of hydroplanes on an oval course mostly on lakes or rivers.
364,"Ice Canoeing — a team sport in which a five-member crew complete a course, in which riders have to push their canoe on the frozen parts of the river as well as row in the water."
365,Ice Climbing — athletes climb vertical ice formations with the uses of ropes and other protective gear.
366,Ice Cross Downhill — an extreme winter racing sport which involves direct racing of multiple skaters on a downhill course.
367,"Ice Dancing — one of the events in Figure Skating, which has its roots in ballroom dancing."
368,Ice Hockey — a contact sport which is played on ice while wearing skates and using a stick to hit a puck into a goal.
369,Ice Racing — racing of motorized vehicles on predominantly natural ice surfaces like frozen lakes or rivers.
370,"Ice Speedway — similar to Motorcycle Speedway Racing, though using a motorbike developed specifically for racing on ice. The bikes race anti-clockwise around oval tracks between 260 and 425 meters in length."
371,"Ice Skating — a range of sports that involve traveling on ice using metal blades attached to shoes, such as ice hockey, figure skating and speed skating."
372,Ice Sledge Racing — a winter Paralympic sport in which contestants use a lightweight sledge and propel themselves using two poles.
373,"Ice Stock Sport — a winter sport similar to curling, in which ice-stocks are slid across the ice to a target area. Also called Bavarian Curling."
374,Ice Track Cycling — racing a modified bicycle around a 400 m frozen track.
375,Ice Yachting — sail boats called ice yachts are used to race on frozen lakes and rivers.
376,"Icosathlon — a double decathlon consisting of 20 events, including the 10 traditional decathlon events with 10 additional track and field events."
377,Indoor Cricket — a modified version of cricket played indoor with nets for walls.
378,Indoor Field Hockey — indoor team sport that was derived from field hockey.
379,"Indoor Netball — a variation of netball, played indoors with netting all around the court."
380,Indoor Rowing — competitions performed on a rowing machine which simulates the on-water action.
381,Indoor Soccer — an indoor version of Association Football developed in North America with side walls keeping the ball in play.
382,"Indoor Triathlon — swimming in an indoor pool, cycling on a stationary bike, and running on an indoor track or treadmill."
383,"Inline Hockey — similar to ice hockey, players move around on a wooden or concrete surface wearing inline skates."
384,"Inline Skating — also known as roller blading, a variety of sports performed while wearing skates with two to five polyurethane wheels arranged in a single line."
385,Inline Speed Skating — athletes use inline skates to race around tracks.
386,Intercrosse — a non-contact version of lacrosse.
387,"International Fronton — played by striking a ball onto a wall with bare hands, using rules adapted from many wall ball sports."
388,"International Game — a team sport that is played by striking a ball with hands, created so that players from similar handball sports could play against each other."
389,International Rules Football — invented so that Aussie Rules Football players can play games against Irish Gaelic football players.
390,Irish Road Bowling — competitors attempt to take the fewest throws to propel a metal ball along a predetermined course of country roads.
391,"Ironman Surflifesaving — combines four major aspects of surf-lifesaving into a single race: swimming, board paddling, ski paddling, and beach running."
392,"Jai Alai — a sport derived from Basque Pelota, usually played indoors. Popular in many Latin American countries."
393,Javelin — track and field event invsolving throwing a spear-like implement as far as possible.
394,Jereed — a traditional Turkish team equestrian sport in which the objective is to throw blunt wooden javelins at players of the opposing team.
395,"Jet Ski Racing — a water sport similar to powerboat racing, in which riders use jet skis to compete."
396,"Jetsprint — a high-speed boat racing sport in which a team of two riders, race through a course by themselves in a time-trial format (also known as sprint boat racing)."
397,"Jeu Provençal (Boule Lyonnaise) — a popular French form of Boules, where the objective is to throw a set of hollow metal balls as close as possible to a target ball."
398,"Jianzi — a traditional Chinese national sport, where players aim to keep a shuttlecock type object in the air by kicking it, usually played with a net between teams. Also called Shuttlecock."
399,Joggling — running (jogging) races while juggling.
400,Jokgu — a Korean sport which resembles a mix of football and volleyball.
401,Jorkyball — a type of indoor soccer played on a small rectangular field surrounded by glass walls.
402,Judo — the objective is to throw or takedown the opposing player to the ground.
403,"Jugger — a brutal sport inspired by the movie “The Salute of the Jugger”, the objective is for the team to get to the other team’s foam dog skull."
404,"Jiu-Jitsu / Jujutsu — a Japanese martial art using close combat for defeating an armed and armored opponent, with only a short weapon or none at all."
405,Jukskei — a folk sport from South Africa where competitors throw wooden pins to try and knock down a target wooden peg.
406,"Kabaddi — a ""raider"" enters the opposite team's half to tag opponents without taking a breath."
407,Kaisa — a cue sport (type carom billiards) mainly played in Finland. (also known as Karoliina).
408,"Kalaripayattu — an ancient martial art from Kerala, India."
409,"Karate — a martial art developed in Japan which uses punching, kicking, knee strikes, elbow strikes, and some open-hand techniques."
410,"Kart Racing — an open-wheel motorsport variant which uses small, open, four-wheeled vehicles called karts (or go-karts)."
411,"Kayaking — boat races using a small, narrow boat propelled by means of a double-bladed paddle."
412,Kegel — a German nine-pin bowling game played in Australia.
413,"Kelly Pool — type of pocket billiard game played on a standard pool table, with fifteen numbered markers which player select from."
414,Kemari — Japanese traditional sport with the aim to keep one ball in the air.
415,"Kendo — a form of Japanese martial art that originated from kenjutsu, using bamboo swords and armour."
416,"Kettlebell Lifting — a weight lifting sport performed with kettlebells, which are heavy weights which resemble a cannonball with a handle."
417,"Kho Kho — the team that is quickest to tag all the opponents wins the game, from India."
418,"Kickball — a type of baseball where the players kick the ball, instead of striking it with a bat."
419,"Kickboxing — a group of stand-up combat sports based on kicking and punching. Variations include Pradal Serey (Cambodia), Sanda (China), Savate (France), Sikaran (Philippines)."
420,Kilikiti — a traditional Tuvalu sport similar to cricket.
421,Kin-Ball — played with three teams and a large inflated ball.
422,Ki-o-rahi — a traditional New Zealand Maori game played on a circular field.
423,Kite Fighting — battle to cut the lines on the opponents' kites.
424,Kite Foil Racing — kiteboard racing on boards with a hydrofoil that extends below the board into the water.
425,Kite Landboarding — using a kite and wind power to manoeuver a huge skateboard type board over land.
426,"Kite Boarding — a group of sports which use a kite for power and a board for support, such as Kitesurfing, Kite Landboarding, Snowkiting."
427,"Kitesurfing — a board and kite are used on the water utilizing different styles consisting of freeride, speed, down winders and racing."
428,Klootschieten — German sport in which participants throw a ball as far as they can.
429,Kneeboarding — a waterskiing event where a participant is pulled along while kneeling on a convex board.
430,"Knife Throwing — like archery, the knife is thrown towards a target."
431,"Korfball — a mixed gender ball sport which is similar to netball and basketball, developed in The Netherlands."
432,"Krachtbal — a team sport from Flanders, where points are scored by throwing the ball using a neck or back throw into the opponent’s goal area."
433,"Krolf — a mix of croquet and golf, players use a mallet to hit the ball into a hole."
434,"Kronum — a team sport that combines aspects of football, handball, basketball, and rugby into a single sport."
435,Kubb — a lawn game where the object is to knock over wooden blocks ('kubbs') by throwing wooden batons at them.
436,"Kung Fu — a general term for Chinese martial arts, the competition format is Wushu."
437,"Kurash — folk wrestling style from Central Asia in which wrestlers use towels to hold their opponents, and their goal is to throw their opponents off the feet."
438,"Lacrosse — a team game, originally played by North American Indians, in which the ball is thrown, caught, and carried with a long-handled stick with a piece of shallow netting at one end. Versions include Field Lacrosse, Box Lacrosse, Women's Lacrosse, Sixes Lacrosse."
439,"Lagori — from Southern India, this game involves a ball and a pile of flat stones. A member of one team throws a soft ball at a pile of stones to knock them over, then try to restore the pile of stones while the opposing team throws the ball at them (also known as Lingocha)."
440, Land Sailing — racing in three-wheeled vehicles moving across land powered by wind through the use of a sail. Also known as sand yachting or land yachting.
441," Land Speed Records — in various vehicle classes, competitors attempt to create the fastest time over a fixed distance. Two runs are required in opposite directions within one hour to set a new mark."
442," Land Windsurfing — similar to traditional Windsurfing though performed on land rather than water, using a four-wheeled deck to travel across the surface. Also known as ""Terrasailing"", ""street sailing"", ""land sailing"" and ""dirt windsurfing""."
443,"Lapta — a Russian traditional bat and ball game. The aim of the game is to hit a ball, served by a player of the opposite team, with a bat as far as possible, then run across the field, and if possible back again."
444,Laser Run — four legs of laser pistol shooting followed by an 800m run.
445," Laser Tag — a skirmish sport in which players attempt to score points by tagging targets, typically with a hand-held infrared-emitting targeting device."
446," Lawn Bowls — the objective is to roll biased balls so that they stop close to a smaller ball called a ""jack"" or ""kitty""."
447,Lawn Mower Racing — motorsport where participants use race-modified lawn mowers.
448,Lead Climbing — climbers attempt to get highest on challenging route on a vertical wall within a pre-determined timeframe.
449,"Legends Car Racing — a racing sport using identical spec vehicles, with bodyshells made of 5/8-scale replicas of American automobiles from the 1930s and 1940s and powered by a Yamaha motorcycle engines."
450," Lelo Burti — a Georgian folk sport, a full contact ball game very similar to rugby."
451,Lethwei — an unarmed Burmese martial art similar to other kickboxing styles from the region.
452,"Letterboxing— an outdoor sport that combines orienteering, art, and puzzle solving. Small weatherproof boxes are hidden in publicly accessible places (like parks) and clues are distributed to finding the box. Similar to GeoCaching."
453,Log Rolling — two challengers attempt to stay on a floating log the longest.
454,Longboarding — a skateboarding sport in which athletes use a longboard to compete in downhill races.
455,Long Drive — golf competition in which players attempt to hit the ball the longest distance.
456,Long Jump — a track and field event where the participant attempts to jump the longest into a sand pit. See also the similar Triple Jump.
457,"Long Track Motorcycle Speedway — a version of motorcycle speedway, but taking place on longer tracks at much higher speeds."
458,"Longue Paume — an outdoor version of the racket sport, jeu de paume, played without a net."
459,Luge — a Winter Olympic sport in which competitors race down an ice track in a small one- or two-person sled lying supine (face up) and feet-first.
460," Lumberjack — competitions involving many different events, including log rolling, chopping, timed hot (power) saw and bucksaw cutting, and pole climbing."
461,"Mallakhamba — a traditional Indian sport, where athletes perform various types of gymnastics moves and hold various poses on a vertical wooden pole or a rope."
462,Marathon — a distance running athletics event over 42.2 km.
463,Marching Band — a large team of participants play musical instruments as they perform various routines while moving around on a huge outdoor field.
464,Mas Wrestling — participants sit and face each other with the feet braced against a board and each with both hands on a stick. The aim is to pull the other player over to your side.
465,Matkot — a beach paddle sport from Israel which is very similar to beach tennis. Also called Frescobol.
466,Metallic Silhouette Shooting — players compete to test their skills by shooting at silhouette metal targets.
467,"Metro Footy — a modified version of Australian football played on a rectangular field, predominantly in the USA."
468,"Middle Distance  — a set of track and field running events over distances such as 800m, 1500m, not a sprint and not an endurance race."
469,"Military Pentathlon — a competition involving a shooting phase, obstacle run, obstacle swimming, grenade throwing, and cross-country running."
470,"Mind Sports — a family of sports in which the objective is to test mental strength rather than physical strength. Some may be considered actual sports such as speed cubing, while others not (memory, chess)."
471,"Minigolf or Miniature Golf — a game utilizing only the putting aspect of Golf, played on short holes on artificial putting surfaces often with obstacles. Officially called minigolf, but also can be called by the name miniature golf, mini-golf, midget golf, goofy golf, shorties, extreme golf, put put, crazy golf, adventure golf, mini-putt and many others."
472,"Mini Rugby — a modified version for Rugby Union, to make the sport suitable to be introduced to children."
473,"Mixed Martial Arts (MMA) — a full contact individual combat sport which includes aspects of several other combat
sports and martial arts."
474,"Modern Pentathlon — an Olympic sport that comprises five events: fencing, 200m freestyle swimming, show jumping, and a combined event of pistol shooting and 3200m cross country run."
475,"Mogul Skiing — snow skiers compete on a specially designed downhill course, in which the primary focus in on the technique used for turns, aerial maneuvers, and speed."
476,"Mölkky — players use a wooden pin (also called ""mölkky"") to try to knock over wooden pins."
477,"Mongolian Wrestling — a folk wrestling style from the Mongolian region, in which the aim is to get your opponent to touch his upper body, knee or elbow to the ground."
478,"Moscow Broomball — a variation of Broomball, an ice hockey type sport, played in Moscow and only by non-Russians."
479,"Motoball — similar to football, except all players (except goalkeepers) are riding motorcycles, and the ball is much bigger (also called Motorcycle Polo)."
480,Motocross — a form of motorcycle racing held on enclosed off-road circuits which include embankments and jumps. See also Freestyle Motocross.
481,Motorcycling Road Racing — a motorcycle sport involving racing motorcycles as teams or individuals around a circular track. At the elite level it is in the form of MotoGP racing. Also known as Moto racing and Bike racing.
482,"Motorcycle Gymkhana — a motorcycle time trial sport around cones on a paved area. The winner is the competitor who completes the course in the shortest time. Time penalties are incurred by putting a foot down, hitting a cone, or going outside the designated area. It is similar to car Autocross."
483,Motorcycle Sidecar Racing — rider and a passenger compete in custom built vehicles.
484,"Motorcycle Speedway — a Motorsport in which the motorcycles have one gear and no brakes, and race around a circular track. Also commonly known by just Speedway. Variations include Ice Speedway."
485,"Motorcycle Trials — a test of skill on a motorcycle whereby the rider attempts to cover rocky terrain without placing a foot on the ground. The winner is the rider with the least penalty points. Known in the USA as ""Observed Trials""."
486,"Motorsports — includes a wide range of sports, each linked with its use of a motor to propel a driver, and all have an element of thrill and danger for the driver and spectator."
487,"Mountain Biking — held on steep and rough terrain, involving jumps, rock gardens, and other obstacles."
488,Mountain Unicycling — an adventure sport that consists of traversing rough terrain on a unicycle.
489,"Mountainboarding — an action board sport like a snowboard with wheels or a cross-country skateboard. It is also known as Dirtboarding, Offroad Boarding, and All-Terrain Boarding (ATB)."
490,Mountaineering — the sport of mountain climbing.
491,"Mounted Orienteering — participants navigate from start to end through control points, usually on horseback."
492,"Muay Thai — a full contact fighting sport in which fighters try to defeat their opponents by using different techniques that make use of fists, elbows, knees, and shins."
493,Mud Bogging — an off-road motorsport which involves driving a vehicle through a muddy course.
494,Muggle Quidditch — the playable version of the sport of Quidditch invented for the Harry Potter books.
495,"Naginatajutsu — a Japanese martial art of wielding the naginata, a weapon resembling the medieval European glaive."
496,"Naval Pentathlon — comprises an obstacle race, life-saving swimming race, utility swimming race, seamanship race, and an amphibious cross-country race."
497,"Netball — a team game with seven players on a side, similar to basketball except that players are restricted to certain sections of the court, and a player receiving the ball must stand still until they have passed it to another player."
498,"Newcomb Ball — an early variation of Volleyball, teams throw a ball back and forth until it hits the floor or is mishandled."
499,"Nine-a-side Footy — a mini version of Australian Rules Football, with 3 players each designated as forwards, centres and backs."
500," Nine-Ball — a version of Pocket Billiards played with nine balls, numbered 1 through 9. A player who legally pockets the nine-ball is the winner. Most professional tournaments are conducted for the nine-ball format of pool."
501,Nine-Man Football — a variation of American Football for smaller schools.
502,Nine Pin Bowling — a variation of bowling with only 9 pins set up in a diamond pattern.
503,"Ninjutsu — The traditional Japanese art of the Ninjas - incorporating stealth, camouflage and sabotage, now practiced as a martial art."
504, Nordic Combined — a Winter Olympics sport in which athletes compete in a combined event of Cross-Country Skiing and Ski Jumping.
505," Nordic Skiing — a field of competitive skiing which includes all events where the heel of the boot cannot be fixed to the ski (as opposed to Alpine skiing). Includes Cross-Country Skiing, Ski Jumping, and Biathlon, Nordic Combined and Telemark Skiing."
506,"Northern Praying Mantis — a style of Chinese martial arts, sometimes called Shandong Praying Mantis."
507,"Novuss — a national sport in Latvia, with similarities to carrom and pocket billiards. Played on a 1 meter square wooden board with pockets in each corner. A small cue stick is used to strike a puck to hit small discs into the pockets."
508,Obstacle Course Racing — an event requiring an athlete to run through a variety of different obstacles.
509,Ocean Rowing — involves rowing races across entire seas and oceans.
510,Offroad Boarding — another name for Mountainboarding.
511,"Off-Road Racing — many motor sports have competitions 'off-road', meaning on rough terrain."
512,"Oil Wrestling — a form of wrestling called Yağlı Güreş in Turkey, is where the wrestlers cover themselves in oil."
513,"Oină – a Romanian traditional sport, similar in many ways to Baseball and Lapta played outdoors by two teams of 11 players, taking turns either batting or catching."
514,"Okinawan Kobudō — weapon systems of Okinawan martial arts, also known as Ryūkyū Kobujutsu."
515,"One Day International (ODI) — a form of Cricket played in a single day, usually 50 overs per team. An even shorter version is the Twenty20."
516,One-Pocket — a version of Pocket Billiards where the objective is to pocket all the object balls into a single pocket.
517,"Open Water Swimming — competitive swimming races conducted over various distances (10km at the Olympics) held in rivers, lakes and oceans."
518,"Orienteering — participants find their way to various checkpoints across rough country with the aid of a map and compass, the winner being the one with the lowest elapsed time."
519,Outdoor Handball — another name for Field Handball.
520," Outrigger Canoeing — racing using a type of canoe featuring one or more lateral support floats known as outriggers, which are fastened to one or both sides of the main hull."
521,"Over-the-line – a bat-and-ball sport related to baseball and softball with just 3 people per team. Unlike the other sports, the batter and pitcher are on the same team."
522,Oztag — a form of Tag Rugby
523,"Paddle Tennis — a variation of tennis on a smaller court, lower net, using a solid paddle and ball."
524,Paddleball (1 wall) — a small rubber ball is hit against a single wall with a solid paddle.
525,Paddleball (4 wall) — like racquetball/squash but played with a solid paddle racket.
526,Paddleboarding — a person kneels or lies prone on a board and uses their arms and hands to propel themselves through the water.
527,"Padel — a mix of tennis and squash, played on a much smaller court with walls and a solid paddle racket."
528,Paintball — a skirmish sport in which players compete to eliminate opponents by tagging them with capsules containing water soluble dye propelled from paintball guns.
529,Palant — a Polish sport with lots of similarities to modern baseball played using a wooden stick and a rubber ball.
530,Paleta Frontón — a wall based racquet sport that originated in Peru.
531,Palla — a traditional street game played in villages of Italy.
532,Pankration (Amateur) — A modern version of the Ancient Olympic sport of Pankration.
533,"Parachuting — also known as skydiving, involving jumping from an aircraft with just a parachute."
534,Para-Climbing — Sport Climbing  for disabled athletes.
535,"Para-Cycling — cycle racing events using adaptations for disabled athletes, such as tandem bikes and hand-cycling."
536,Paragliding — riders using para-gliders perform cross country or acrobatic maneuvers.
537,Parallel Bars — an artistic gymnastics discipline performed by men which comprises predominantly of swings and vaults with two parallel bars.
538,"Paratriathlon — involves a 750 m swim, a 20 km bike with handcycles, bicycles or tandems with a guide, and a 5 km wheelchair or running race."
539,"Pärk (or Paerk) — an outdoor team sport that originated in Gotland, where players hit or kick the ball to gain field position."
540,Parkour — activity involving overcoming obstacles in an urban space.
541,Park Skateboarding — skaters perform tricks in on a course like a familiar skate park containing bowls and pools in a complex combination with ramps and course bends.
542,Patball — school yard game played with hands or head for hitting the ball against a wall.
543,Pato — a cross between Polo and Basketball played on horseback. It is the national sport of Argentina. A similar sport is Horseball.
544,Pehlwani — a form of wrestling from South Asia. A win is achieved by pinning the opponent's shoulders and hips to the ground simultaneously.
545,"Pelota Mixteca — an ancient game similar to tennis without a net, the ball is hit with decorated gloves."
546,Pencak Silat — a fighting sport from Indonesia which collectively encompasses martial arts of various styles.
547,"Pesäpallo — a Finnish variation of Baseball, the major difference is that the ball is pitched vertically."
548,Pétanque — a type of boules in which the objective is to throw hollow metal balls towards a small wooden target ball.
549,Peteca — played by hitting the shuttlecock with your hand over a high net.
550,"Pickleball — a non-contact racket sport which is similar to badminton, tennis, and table tennis."
551,Picigin — a traditional water sport from Croatia in which the aim is to prevent a small ball from touching the surface of the water.
552,Pigeon Racing — the objective is for each pigeon to return back to its home as fast as possible.
553,Ping Pong — a popular name for Table Tennis.
554,"Pitch and Putt — like golf, but on shorter holes and only a putter and a wedge are allowed."
555,Pitton — a net and racquet based sport played with a hard pickleball paddle and a badminton shuttlecock.
556,Platform Tennis — a variation of tennis with modified equipment on a much smaller court surrounded on all sides by a fence.
557,Playboating — a whitewater sport in which athletes on kayaks or canoes perform various moves in a fixed place called the playspot.
558,"Pleasure Driving — a horse and carriage sport judged on a horse's manners, performance, quality and conformation."
559," Pocket Billiards — also known as Pool, it is the name for a range of Cue Sports played on a table with six pockets along the rails, into which the main aim is to hit balls into the pockets. There are hundreds of pool games - popular versions include Eight-Ball and Nine-Ball, as well as Ten-Ball, Straight Pool, One-Pocket and Bank Pool."
560,"Poker — a card game that combines gambling, strategy, and skill. The winner of each hand is determined according to the combinations of players' cards."
561,Pole Climbing — involves climbing very high wooden poles.
562,"Pole Dancing — participants perform various type of acrobatic moves like spins, climbs, twists and body inversions around a pole."
563,Pole Vault — an athletics event in which a competitor leaps over a bar using a flexible pole.
564,"Polo (Horse Polo) — a team sport played on horseback in which the objective is to hit a ball into a goal using a long-handled mallet. Variations include Snow Polo, Elephant Polo, Cycle Polo, Yak Polo, Cowboy Polo plus many more."
565,Polocrosse — an equestrian sport combining the sports of lacrosse and polo.
566,Pommel Horse — a male artistic gymnastics event in which the gymnast performs routines atop a symbolic horse.
567,Pond Hockey — a version of ice hockey played on a natural frozen body of water.
568,Pool — a common name for the cue sport of Pocket Billiards.
569,"Popinjay — a shooting sport with either bows or rifles, in which the bird-like target is suspended from a pole."
570,Power Hockey — ice hockey played on an electric wheelchair.
571,Power Boat Racing — ocean-going powerboats races against each other.
572,Powerchair Football — indoor football for people in wheelchairs.
573,"Powerlifting — tests of strength on three lifts: dead lift, bench press and squat."
574,Practical shooting — dynamic shooting sport using handguns and moving and shooting over obstacles.
575,Pradal Serey — a type of kickboxing from Cambodia. Also known as Kun Khmer.
576,Prizefighting — another name for bare-knuckle boxing.
577,Pushball — a team sport played with a large ball in which the objective is to push the ball through the opponent’s goal posts.
578,Qianball — a racket and ball sport developed in China which can be best described as a mix of aspects from tennis and squash.
579,"Quadrathlon — an endurance sports event composed of the four individual disciplines of swimming, kayaking, cycling and running - also called quadriathlon."
580,Quidditch — the sport invented for the Harry Potter books has been adapted for the real world. See Muggle Quidditch.
581,"Quoits — a traditional target throwing game in which rings are thrown at a target spike, the aim is to get them as close as possible to the target."
582,"Racerunning — a track and field racing sport for disabled athletes, in which they use a specially designed tricycle."
583,Race Walking — competitors attempt to outrace one another without running.
584,"Racketlon — a combination sport, where players compete in the sports of table tennis, tennis, squash, and badminton."
585,Racquetball — a squash type game involving hitting a hollow rubber ball using a stringed racket.
586,Racquets / Rackets — a sport similar to squash.
587,"Raffa Bocce — a variation of bocce played on carpet, plastic balls are rolled or thrown towards a target smaller ball"
588,Rafting — the objective is to navigate downstream on river rapids using an inflated raft.
589,Rallycross — automobile sprint racing held on a closed racing circuit using rally type cars.
590,Rally Racing (car) — auto racing that mainly happens either on unpaved roads in races against the clock.
591,"Rally Raid — an extended form of rally racing, conducted on an off-road course which spans across one or more countries."
592,Rally Racing (motorbike) — a navigation event on motorbikes on public roads whereby competitors must visit a number of checkpoints in diverse locations while still obeying road traffic laws.
593,"Real Tennis — the sport from which the modern lawn tennis was derived. It is played in an indoor court of asymmetric dimensions, using rules and scoring similar to those of modern tennis."
594,Rec Footy — an accessible non-contact version of Australian Football.
595,"Reining — equestrian riders guide their horses through a precise pattern of spins, circles and stops."
596,"Relay Running — a track and field running race in which athletes compete as a team, passing a baton from one runner to the next."
597,Relay Swimming — a swimming race in which teams of four race consecutively.
598,"Rhythmic Gymnastics — uses the elements of ballet, gymnastics, dance, and apparatus manipulation."
599,Ringball — a court game from South Africa very similar to netball.
600,"Ringette — a very similar sport to ice hockey, though played with a blue rubber ring and a straight stick."
601,"Rings — gymnastics routine using a pair of rings, that are suspended by straps."
602,"Rink Bandy — a variation of Bandy which originated in Sweden in the 1960s, played on an ice hockey rink. See also Rink Ball."
603,Rink Hockey — a roller hockey sport.
604,"Rinkball — very similar to Rink Bandy, though played with ice hockey sticks instead of bandy sticks which are more like those used in field hockey."
605,"Ritinis — a team sport from Lithuania, played on a football field with goal posts with a puck thrown by bat with a handle and curved elongated end."
606,"Road Bicycle Racing — cycle races held on paved roads, usually over several hours or days."
607,"Road Bowling — throw a small ball along a road, to cover a prescribed distance with a set number of throws."
608,Road Tennis — a version of tennis played on a smaller court with paddles and a low wooden net.
609,Road Skating — athletes use either inline or roller skates and ride on road courses.
610,Robot Combat — involves custom built remote control machines fighting each other (not a sport).
611,"Robot Sports — sporting competitions involve robot machines battling other robots, often replicating the rules and equipment of sports (not a sport)."
612,Robot Soccer — autonomous robots compete in football matches (not a sport).
613,Rock Climbing — competitive rock climbing is called Sport Climbing.
614,"Rodeo — a sporting event comprising many different sports, including the following Calf Roping, Breakaway roping, Team roping, Barrel racing, Steer wrestling, Goat tying, Bronc riding, Bull Riding,
Steer roping and
Pole bending."
615,Rogaining — involves cross-country navigation over long distances.
616,"Roll Ball — like handball on roller skates, players must bounce the ball while moving and score goals by shooting the ball into the opposing team's goal."
617,Roller Derby — two teams compete while skating in the same direction around a track.
618,Roller Hockey — includes traditional roller hockey (quad hockey or rink hockey  played with quad skates) and inline hockey (played with inline skates).
619,Roller Skating — there is a range of sports performed while wearing roller skates.
620,Roller Skiing — races are conducted on tarmac road courses with athletes wearing snow skis with wheels attached.
621,"Roller Soccer — indoor sport, playing soccer while wearing roller blades."
622,Rope Climbing — competitors climb up a rope using only their hands.
623,Rope Jumping (skipping) — involves a single person or more jumping over a rope that is being swung.
624,Roping — a rodeo event where calves or cows are caught by throwing around it a rope with a loop as quickly as possible.
625,"Roque — an American variation of croquet played on a hard, smooth surface."
626,"Rounders — played between two teams with a bat and ball, like baseball."
627,"Roundnet — involves two teams of two, who have up to three touches to hit a ball off a small round horizontal net (also called spikeball)."
628,Rowing — a sport in which competitors propel a boat using oars.
629,"Rugby Fives — an indoor court game played with gloves, hitting the ball against the wall."
630,"Rugby League — a rough game involving tackling the players in a bid to get the ball, with each team attempting to carry it over the end line."
631,"Rugby League Nines — a variant of rugby league, with only nine players instead of 13."
632,"Rugby League Sevens — a variant of rugby league, with only seven players instead of 13."
633,Rugby Sevens — a variation of rugby union with fewer players and played over a shorter time period.
634,"Rugby Tens — also known as ten-a-side and Xs, is a variant of rugby union that originated in Malaysia, and is popular in many Asian countries."
