no,Nama Perusahaan,Grup,Alamat,Telepon 1,Telepon 2,Fax
198,"Incasi Raya, PT",Incasi Raya,"Jl.Diponegoro,No.7, Padang 25117,West Sumatra",(0751)31331,32044,(0751)32597
199,"Indah Pontjan, PT", ,Jl.Masjid No.129 Medan      North Sumatera,061-518293,, 
200,"Indhasana Hupasarana, PT",Lyman,"Jl.Abdul Muis No.46, Jakarta 10160",021-3861010,3846767,021-3861032/3
201,"Indhasana Hupasarana, PT", ,"Jl.Tanah Abang II,No.1 G Jakarta",021-3861010,, 
202,Indo Sepadan Jaya, , ,,, 
203,"Indokarya Gemasakti, PT",Indo Karya,"GAPURA MAS Building,5th floor.Jl Letjen. S.Parman Kav.91,Slipi,Jakarta      11420",(021)5668383,5667476,(021)5667482
204,Indoriguna sakti, , ,,, 
205,"Indotruba Tengah, PT",Salim," Central      Plaza, 21st Floor, Jl.Jend.Sudirman Kav.47-48 Jakarta 12930",021-5702288,,021-5702244
206,Indoturba Timur, , ,,, 
207,"Indriplant, PT",Salim," Central Plaza,      20-21st Floor, Jl.Jend.Sudirman Kav.47-48 Jakarta 12930",021-5702288,,021-5702244
208,"Inecda, PT", ,Jl.Biliton No.7 Jakarta Pusat,021-3107064,3107476,021-334807
209,Inti Gerak Maju,Sinar Mas,"JITJ, 5th Floor, Jl.Mangga Dua Raya Jakarta 14430",021-6017996,6017998,021-6016181
210,Inti Indosawit Subur(pirtrans),RGM,"BNI Building, 20th Floor, Jl.Jend.Sudirman Kav.1 Jakarta 10220",021-5707500,,021-5701773
211,"Inti Indosawit Subur, PT",RGM,"BNI Building, 20th Floor, Jl.Jend.Sudirman Kav.1 Jakarta 10220",021-5707500,,021-5701773
212,"Inti Kamparindo Sejahtera, PT", ,"Jl.Setia Budi No.200 Pekan Baru, Riau",0761-31822,, 
213,"Ivo Mas Tunggal, PT",Sinar Mas,"JITJ, 9-10th Floor, Jl.Mangga Dua Raya Jakarta 14430",021-2601088,,021-2601059
214,Jabontara Ekakarsa, , ,,, 
215,"Jakarta Jaya, PT", ,"Jl.Imam Bonjol No.243, Kisaran, North Sumatera",0623-41294,41712, 
216,Jambi Agro Wijaya, , ,,, 
217,Jambi Lampura Seberang, , ,,, 
218,"Jambi Tantiulen, PT", ,"Jl.Gajah Mada No.5, RT 23-07, Jambi",0741-22507,, 
219,"Jamika Raya, PT",Yakin,"JL.P.Diponegoro No,7 Padang 25117 West Sumatera",0751- 31332,32044,0751- 32597
220,"Jammer Tulen, PT",Asiatic Persada,"Price Water House,12th floor,Room 1210 Jl.H.R.Rasuna Said,Kav.C-3,Jakarta      Selatan",(021) 5212914-15,,(021)5212918
221,"Jaya Selamat Abadi, PT", ,"Jl.Jend.Sudirman No.62, Rantau Prapat,North Sumatera",0624- 21360,,0624- 21554
222,"Jayatama Gemareksa, PT", ,Jl.Adityawarman No.43 Jakarta 12160,,, 
223,Johan Santosa I & II, , ,,, 
167,Ganda Buaninda, , ,,, 
168,"Gandaerah Hendana, PT",Barito,"Wisma BARITO PACIFIC Tower B,4thFloor,Jl.S.Parman,Kav 62-63,Slipi      Jakarta 11410",(021)5358458,,(021)5304271
169,"Gatra Kembang Paseban, PT",Metro,"Gedung Metro, 8th Floor, Jl.H.Samanhudi Pasar Baru, Jakarta Pusat",021-3448684,,021-3843291
170,"Gawi Makmur Kalimantan, PT",Wings,"Jl.Tanah Abang II, No.2 Jakarta 10160",021- 5350538,,021- 3505381
171,Gelora Sawita Makmur,Ika Muda,"LENDMARK Centre,Tower A, 8th floor,Jl. Jend sudirman No.1 Jakarta      12910",(021)5712790,5712853,(021)5712716
172,"Gelora Sawita Sawut, PT",Hokindo,"HOKINDO Building, 5th floor .Jl.Mangga Dua raya,Block F1.No,Jakarta",(021)6011809,,(021)6015750
173,Gemareksa Mekarsari,Lyman,"Jl.Abdul Muis No.46, Jakarta",021-3861010,3846767, 
174,"Gemareksa Mekarsari, PT",Lyman,"Jl.Abdul Muis No.46, Jakarta 10160",021-3861010,3846767, 
175,"Gergas Utama, PT", ,Jl.Rachmadsyah No.140 DE Medan North Sumatera,061-712740,710876,061-710944
176,"Gersindo Minang Plantations, PT",Karya P Nelayan,"Jl.Samudera,No.26,Padang,West Sumatra",(0751)33435,33451,(0751)32484
177,"Graha Cakramulia, PT", ,Jl.Letjen Suprapto No.8 A-B Jakarta 10530,021- 4242605,,021- 4203012
178,"Grahadura Leidongprima, PT", ,Jl.Bilal Harmonis II No.11-15 Medan 20239 Norh Sumatera,061- 611534,612544,061- 612544
179,"Gunung Mas Raya, PT",Salim," Central      Plaza, 20- 21st Floor, Jl.Jend.Sudirman Kav.47-48 Jakarta 12930",021- 5702288,,021- 5702244
180,Gunung Melayu. PT,Salim," Central      Plaza, 21st Floor, Jl.Jend.Sudirman Kav.47-48 Jakarta 12930",021-2526584,,021-2522269
181,"Gunung Sejahtera Dua Indah, PT",Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung Jakarta13930",(021)4616555,4612686,(021)4616550
182,"Gunung Sejahtera Ibu Pertiwi, PT",Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung Jakarta13930",(021)4616555,4612686,(021)4616550
183,"Gunung Sejahtera Puti Pesona, PT",Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung Jakarta13930",(021)4616555,4612686,(021)4616550
184,"Gunung Sejahtera Raman Permai, PT",Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung Jakarta13930",(021)4616555,4612686,(021)4616550
185,"Gunung Sejahtera Yoli Makmur, PT",Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung Jakarta13930",(021)4616555,4612686,(021)4616550
186,"Gunungsawit Bina Lestari, PT", ,"Jl.Raya Pagarawan Km8 Sungai Liat, Sumatera Selatan",,, 
187,"Guthrie Pecconina, PT",Guthrie,"Jl Bekasi Timur IV ,No.3-A,Jatinegara.Jakarta 13410",(021)8199739,8508434-5,(021)8503735
188,"Hamenisia, PT", ,"Manggala Wanabhakti Building 3rd Flroor, Room 304, Jl.Jend.Gatot      Subroto Jakarta 10270",021- 5703265 ext 5241,,021-5710437
189,"Harapan Hibrida Malabar, PT", ,Jl.Pahlawan No.41-42 A-D Pontianak West Kalimantan,,, 
190,"Hardaya Inti Plantations, PT",Berca,"Jl.Terusan Lembang.No.D 51- 53,Menteng,Jakarta Pusat",(021)3905751,3148505,(021)3908469
191,"Hari Sawit Jaya, PT",RGM,"BNI Building, 22nd Floor, Jl.Jend.Sudirman Kav.1 Jakarta 10220",021-5707500,,021-5701771
192,"Hasil Musi Lestari, PT Perkebunan",Barito,"Wisma BARITO PACIFIC Tower B,4th Floor,Jl.S.Parman,Kav 62-63,Jakarta      11410",(021)5707048,5707018,(021)5304271
193,"Hasjrat Cipta, PT", ,"Jl.Samanhudi No.15 Medan, North Sumatera",061-516076,53887,061-518611
194,Herfinta Farm & Plantation, ,"Jl.Jend.A.Yani No.103, Rantau Prapat, Labuhan Ratu, Sumatera utara",061-517032,, 
195,"Herfinta Farm & Plantation, PT", ,JL.A.Yani No.103 Ranto Prapat Labuhan Batu Sumatera Utara,061- 517032,, 
196,"Hindoli , PT",Cargill,"PANIN Bank Centre,5th Floor,JL.Jendral Sudirman,Senayan,Jakarta 10270",(021)7207003,,(021)7520234
197,"Hutahean, PT", ,Jl.Melur No.143 V,0761-22536,36276,0761-20232
198,"Incasi Raya, PT",Incasi Raya,"Jl.Diponegoro,No.7, Padang 25117,West Sumatra",(0751)31331,32044,(0751)32597
199,"Indah Pontjan, PT", ,Jl.Masjid No.129 Medan      North Sumatera,061-518293,, 
200,"Indhasana Hupasarana, PT",Lyman,"Jl.Abdul Muis No.46, Jakarta 10160",021-3861010,3846767,021-3861032/3
201,"Indhasana Hupasarana, PT", ,"Jl.Tanah Abang II,No.1 G Jakarta",021-3861010,, 
202,Indo Sepadan Jaya, , ,,, 
203,"Indokarya Gemasakti, PT",Indo Karya,"GAPURA MAS Building,5th floor.Jl Letjen. S.Parman Kav.91,Slipi,Jakarta      11420",(021)5668383,5667476,(021)5667482
204,Indoriguna sakti, , ,,, 
205,"Indotruba Tengah, PT",Salim," Central      Plaza, 21st Floor, Jl.Jend.Sudirman Kav.47-48 Jakarta 12930",021-5702288,,021-5702244
206,Indoturba Timur, , ,,, 
207,"Indriplant, PT",Salim," Central Plaza,      20-21st Floor, Jl.Jend.Sudirman Kav.47-48 Jakarta 12930",021-5702288,,021-5702244
208,"Inecda, PT", ,Jl.Biliton No.7 Jakarta Pusat,021-3107064,3107476,021-334807
209,Inti Gerak Maju,Sinar Mas,"JITJ, 5th Floor, Jl.Mangga Dua Raya Jakarta 14430",021-6017996,6017998,021-6016181
210,Inti Indosawit Subur(pirtrans),RGM,"BNI Building, 20th Floor, Jl.Jend.Sudirman Kav.1 Jakarta 10220",021-5707500,,021-5701773
211,"Inti Indosawit Subur, PT",RGM,"BNI Building, 20th Floor, Jl.Jend.Sudirman Kav.1 Jakarta 10220",021-5707500,,021-5701773
212,"Inti Kamparindo Sejahtera, PT", ,"Jl.Setia Budi No.200 Pekan Baru, Riau",0761-31822,, 
213,"Ivo Mas Tunggal, PT",Sinar Mas,"JITJ, 9-10th Floor, Jl.Mangga Dua Raya Jakarta 14430",021-2601088,,021-2601059
214,Jabontara Ekakarsa, , ,,, 
215,"Jakarta Jaya, PT", ,"Jl.Imam Bonjol No.243, Kisaran, North Sumatera",0623-41294,41712, 
216,Jambi Agro Wijaya, , ,,, 
217,Jambi Lampura Seberang, , ,,, 
218,"Jambi Tantiulen, PT", ,"Jl.Gajah Mada No.5, RT 23-07, Jambi",0741-22507,, 
219,"Jamika Raya, PT",Yakin,"JL.P.Diponegoro No,7 Padang 25117 West Sumatera",0751- 31332,32044,0751- 32597
220,"Jammer Tulen, PT",Asiatic Persada,"Price Water House,12th floor,Room 1210 Jl.H.R.Rasuna Said,Kav.C-3,Jakarta      Selatan",(021) 5212914-15,,(021)5212918
221,"Jaya Selamat Abadi, PT", ,"Jl.Jend.Sudirman No.62, Rantau Prapat,North Sumatera",0624- 21360,,0624- 21554
222,"Jayatama Gemareksa, PT", ,Jl.Adityawarman No.43 Jakarta 12160,,, 
223,Johan Santosa I & II, , ,,, 
224,"Kalimantan Bina Permai, PT",Lyman,"Gedung SDR, Jl.Abdul Muis No.50 Jakarta 10160",021-3800051,3810945,021-3810928
225,"Kalimantan Kebun Utama, PT",Kaestindo,"Menara Imperium 16th floor.Jl. H.R. Rasuna Said,Kav.1.Jakarta 12980",(021)8354040,,(021)8354045
226,"Kalimantan Ria Sejahtera , PT",RGM,"BNI Building, 20th Floor, Jl.Jend.Sudirman Kav.1 Jakarta 10220",021-5707500,,021-5701771
227,Kalimantan Sanggar Pusaka,Lyman,"Jl.Abdul Muis No.50, Jakarta Pusat",021-3800051,,021-3810928/4
228,"Kalimantara Persada Persawitan, PT",Karya P Nelayan,"CHASE Plaza,23rd floor,Jl.Jend.Sudirman,Kav.21, Jakarta Selatan",(021)5208675,,(021)5208372
229,"Karia Hevea Indonesia, PT",RGM,"Jl.A.Yani, No.38 Medan North Sumatera",061-519053,,061-519053
230,"Karya Agung Megah Utama, PT",Karya P Nelayan,"CHASE Plaza,23rd floor,Jl.Jend.Sudirman,Kav.21, Jakarta Selatan",(021)5208375,,(021)5208372
231,"Karya Canggih Mandirutama, PT",Gajah Tunggal,"Jl.K.H. Ahmad Dahlan,No.200 , Bandar Lampung",(0721)484008,,(0721)489300
232,"Karya Tanah Subur, PT",Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung      Jakarta13930",(021)4616555,,(021)4616550
233,Karyanusa Ekadaya, , ,,, 
234,"Karyapratama Agrisejahtera, PT", ,"Jl.Barito Hulu No.28, Banjarmasin, South Kalimantan",0511- 56888,65781,0511- 65775
235,"Kasmar Tiarsembada, PT", ,"Bank Pasifik Building, 17th Floor, Jl.Jend.Sudirman Kav.7-8 Jakarta 10220",021-5700300,5704594,021-5704596
236,Kaswari Unggul, , ,,, 
237,Kebun Pantai Raja II, , ,,, 
238,"Kembayan subur Agro, PT",Batasan Group,"Jl.Pasar Pagi No.16,Jakarta Barat",(021)6903118,6902777,(021)6903123
239,"Kerasaan Indonesia, PT",Tolan Tiga, Jl.Let.Jen.S.Parman No.217 Medan 20112 North Sumatera,061-552043,,061-520908
240,"Kimia Tirta Utama, PT",Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung      Jakarta13930",(021)4616555,4612686,(021)4616550
241,"Kinar Lapiga, PT", ,"Jl.Merbabu No.34 C      Medan, North Sumatera",061-519225,517083,061-526473
242,"Kirana Sakernan, PT",Mukti,"Jl.Duta Merlin, Blk E, No.19-20, Jl.Gajah Mada No.3-5 Jakarta 10130",021-6348138,,021-6347734
243,Kresna Duta Agrindo,Sinar Mas,"JITJ 10th Floor, Jl.Mangga Dua Raya Jakarta 14430",021-2601070,,021-2601080
244,"Kresna Duta Agroindustri, PT",Sinar Mas,"JITJ 10th Floor, Jl.Mangga Dua Raya Jakarta 14430",021-2601070,,021-2601080
245,Kridatama Lancar,Salim," Central      Plaza, 20-21st Floor, Jl.Jend.Sudirman Kav.47-48 Jakarta 12930",021-5702288,,021-5702244
246,Kurnia Cakra Sakti, , ,,, 
247,"Kwala Gunung, PT", ,"Jl.HOS.Cokroaminoto, No.16, Medan, North Sumatera",061-525864,626990,061-561076
248,"Ladangrumpun Subur Abadi, PT",Salim," Central      Plaza, 20th Floor, Jl.Jend.Sudirman Kav.47-48 Jakarta 12930",021-5702288,,021-5702244
249,"Laguna Mandiri,PT",Salim," Central      Plaza, 20th Floor, Jl.Jend.Sudirman Kav.47-48 Jakarta 12930",021-5702288,,021-5702244
250,"Lahan Tani Sakti, PT",Salim," Central      Plaza, 20th Floor, Jl.Jend.Sudirman Kav.47-48 Jakarta 12930",021-5702288,,021-5702244
251,"Lamhotma, PT", ,"Jl.Timor No.12 H, Medan, North Sumatera",061-530456,530673,061-519152
252,"Langgeng Muara Makmur, PT",Salim," Central Plaza, 10th Floor, Jl.Jend.Sudirman Kav.47 Jakarta      12930",021-5702288,,021-5702244
253,Laras Astra Kartika,Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung      Jakarta13930",(021)4616555,,(021)4616550
254,"Laras Eka Mulia, PT",Batik Keris,"Jl.Tomang Raya No.43,Jakarta 11440",(021)5666261,5644581,(021)5668271
255,"Leidong West indonesia, PT",Sinar Mas,"JITJ, 9-10th Floor, Jl.Mangga Dua Raya Jakarta 14430",021-2601088,,021-2601059
256,Lembah Bhakti, , ,,, 
257,Lembu Jaya, , ,,, 
258,"Lestari Tani Teladan, PT",Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung Jakarta13930",(021)4616555,,(021)4616550
259,"Lestari Tani Teladan, PT",Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung Jakarta13930",(021)4616555,,(021)4616550
260,Lestari Unggul Jaya (Pirtrans), , ,,, 
261,"Lettawa LTD, PT",Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung      Jakarta13930",(021)4616555,,(021)4616550
262,"London Sumatra Indonesia, PT",Napan,"Jl.A.Yani, No.2 Medan 20111 North Sumatera",061-532300,,0431-513596
263,"Maju Perkasa Sawit, PT",Asiatic Persada,"Price Water House,12th floor,Room 1210 Jl.H.R.Rasuna Said,Kav.C-3,Jakarta      Selatan",(021)5212914,5212915,(021)5212918
264,"Mamuang, PT",Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung      Jakarta13930",(021)4616555,,(021)4616550
265,"Mara Jaya, PT", ,"Jl.Kepribadian No.7,      Medan, North Sumatera",061-5102333,512010/3, 
266,Maskapai Perkebunan Indorup Sumber Wadung,Sinar Mas,"JITJ, 5th Floor, Jl.Mangga Dua Raya Jakarta 14430",021- 6017996,6017998,021-6016181
267,Matrasawit Sarana Sejahtera, , ,,, 
268,"Megah Pusaka Andalas, PT", ,"PERISAI Plaza 7th Floor, Jl.Pemuda No.7 Medan, North Sumatera",061- 321266,515262,061- 515338
269,Meganusa Inti Sawit,Sinar Mas,"JITJ, 5th Floor, Jl.Mangga Dua Raya Jakarta 14430",021-6017996,6017998,021-6016181
270,"Menara Artapalma, PT",Benua Indah,"Jl.Gunung Sahari Raya,No.1 Blok A,No.8-9, 2nd Floor Jakarta Pusat",(021)6299650-53,,(021)6391761
271,"Merbaujaya Indah Raya, PT", ,"Jl.Sei Denai No.24 Medan, North Sumatera",061-523364,550469,061-523368
272,Meridan Sejati Surya,Surya Dumai," Wisma GKBI, 31st Floor, Jl.Jend.Sudirman, Kav 28 Jakarta      Selatan",021-5740888,,021-5740384/8
273,"Meta Epsi Agro, PT",Medco,"Gedung PANIN BANK Senayan 6th Floor, Jl.Jend.Sudirman, No.1      Jakarta 10270",021-5745272,,021-5735610
274,"Milano, PT", ,"Jl.Patimura No2 Medan,      North Sumatera",061-514867,,061-578814
275,"Minanga Ogan, PT", ,"Jl.Dempol No.17, Palembang, South Sumatera",0711-313377,312792, 
276,"Minerindo Lesari, PT", ,"Jl.Tanah Abang III,No.26 G Jakarta 10160",021- 3440906,3450638,021-3805037
277,"Mitra Inti Sejati, PT",Batasan Group,"Jl.Pasar Pagi No.16,Jakarta Barat",(021)6903118,,(021)6903123
278,"Mitra Ogan, PT",Rajawali,"Jl.KH.Burlian, Km 9 Palembang South Sumatera",0711-415381,,0711-415521
279,"Mitra Puding Mas, PT",Anglo-Eastem,"Bumi Dewi Building 3rd floor Jl Imam Bonjol,No.16 D Medan,North Sumatra",,, 
280,"Mitra Unggul Pusaka, PT",RGM,"BNI Building, 20th Floor, Jl.Jend.Sudirman Kav.1 Jakarta 10220",021-5706047,5702610,021-5701771
281,Moeis I + III,Astra,"Jl.Palang Merah No.102-104,Medan,North Sumatra",(061)510223,517940, 
282,"Moeis, PT",Astra, ,,, 
283,"Monodon Pratama Rubbertindo, PT", , Jl.Sulawesi dalam No.7 Pontianak,0561-37759,46874, 
284,"Monopoli Raya, PT",Monopoli Raya,"Jl.Sunggal No.91 Medan, North Sumatera",061-851744,859744,061-851625
285,"Mukti Agro Lestari, PT",Mukti,"Jl.Duta Merlin, Blk E, No.19-20, Jl.Gajah Mada No.3-5 Jakarta 10130",021-6334818,6321888,021-6337681
286,"Mukti Bangun Perkasa, PT",Mukti,"Jl.Duta Merlin, Blk E, No.19-20, Jl.Gajah Mada No.3-5 Jakarta 10130",021-6334818,6321888,021-6337681
287,Multi Gambut Industri,Hashim,"BRI II,Building, 26th floor Jl.Jendral Sudirman, No.44-46 Jakarta 10210",(021)5713746,,(021)5713861
288,Multi Jaya Perkasa, , ,,, 
289,"Multi Persada Gatramegah, PT", ,Jl.Mangga Besar VIII No.20 Jakarta 11150,021-6295450,,021-6399616
290,Multi Prima Entakray II, ,Jl.Mangga Besar VIII No.20 Jakarta 11150,021-6295451,,021-6399616
291,"Multi Prima Entakray, PT", ,Jl.Mangga Besar VIII No.20 Jakarta 11150,021-6295452,,021-6399616
292,Multimas Nabati Asahan, ,"Kuala Tanjung, Sumatera Utara",,, 
293,"Multrada Multi Maju, PT",Napan,"Gedung Bank EXIM, 3rd A Floor, Jl.Tanjung Karang No.3-4a Jakarta 10230",021-3913650/52,,021-3148369
294,Murini Wood Indah Ind., , ,,, 
295,Murirni Sam-sam I, , ,,, 
296,"Musam Utjing, PT", ,"BBD Building 5rd, Jl.Imam Bonjol No.16 D Medan North Sumatera",061- 556122,,061- 555736
297,"Musi Banyuasin Indah, PT",Tania Selatan,Jl.Basuki Rahmat No.788 Palembang 30127 South Sumetera,0711-811921,911901,0711-811585
298,"Musi Indonesia, PT",Tolan Tiga, Jl.Let.Jen.S.Parman No.217 Medan 20112 North Sumatera,061- 552043,,061- 520908
299,Musim Mas,Musimas, ,,, 
300,Musirawas Citra H, , ,,, 
301,"Mustika Sembuluh, PT", ,"Jl.Bukit Raya No.80 Kel.Palangkaraya, Kec.Pahadut, Palangkaraya, Kalteng",,, 
302,"Mutiara Sawit Agam, PT",Labuan,"Aspak Building, 7th Floor room 705, Jl.H.R.Rasuna, Kav.X-2,      No.4, Kuningan, Jakarta 12950",021- 5228794/5,,021- 5228793
303,"Narata Indah, PT", ,Jl.Medan Banda Aceh No.6 Lhokseumawe D.I.Aceh,0645-56537,, 
304,"Nilam Wangi, PT", ,"Jl.Mesjid 129, Medan, North Sumatera",061-518294,, 
305,Nirmala Agro Lestari,Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung      Jakarta13930",(021)4616555,,(021)4616550
306,Nirmala Agung, , ,,, 
307,Nunukan Sarana Jaya,Sinar Mas,"JITJ, 5th Floor, Jl.Mangga Dua Raya Jakarta 14430",021-6017996,6017998,021-6016181
308,Nurinta Baganiasa, , ,,, 
309,Nusantara Chandra,Sinar Mas,"JITJ, 5th Floor, Jl.Mangga Dua Raya Jakarta 14430",021-6017996,6017998,021-6016181
310,"Nusantara Indah Api-api, PT", ,"Jl.Hamka No.11A Air Tawar, Padang, West Sumatera",0751- 50591,56346,0751- 50591
311,Nusantara Muktisentosa, , ,,, 
312,"P.D. Pati, PT", ,Jl.Adam Malik No.68      Medan North Sumatera,061-520885,520228,061-546707
313,"Padang Bolak Jaya, PT",Napan,"Gedung Bank EXIM, 3rd A Floor, Jl.Tanjung Karang No.3-4a Jakarta 10230",021-3913650/52,,021-3148369
314,Padasa Enam Utama,State,"BPD Plaza,19th Floor,Jl Imam Bonjol, No.61 Jakarta Pusat",021-3904862/63,,021-3904866
315,"Palmakharisma Sekawan, PT", ,"Bank Pasifik Building, 11st Floor, Jl.Jend.Sudirman Kav.7-8 Jakarta 10220",021-5706925,5706899,021-5706958
316,"Palmindo Raya, PT",Sinar Mas,"JITJ, 5th Floor, Jl.Mangga Dua Raya Jakarta 14430",021-6017996/98,,021-6016181
317,Pamina Adolina, , ,,, 
318,"Pancaroada Utama Abadi, PT", ,"Jl.Candi Angkasa No.234, Palembang, South Sumatera",0711- 353404,357357, 
319,"Pancasurya Agrindo Perkasa, PT",Surya Dumai," Wisma GKBI, 31st Floor, Jl.Jend.Sudirman,      Kav 28 Jakarta Selatan",,, 
320,"Pangkatan Indonesia, PT",Tolan Tiga, Jl.Let.Jen.S.Parman No.217 Medan 20112 North Sumatera,061-552043,,061-520908
321,"Para Kuala Koptrans, PT", ,JL.A.Yani No.102 B Ranto Prapat Labuhan Batu Sumatera Utara,061-517554,,061-511638
322,Parasawita I, ,JL.A.Yani No.102 B Ranto Prapat Labuhan Batu Sumatera Utara,061-517554,,061-511638
323,"Parasawita, PT", ,JL.A.Yani No.102 B Ranto Prapat Labuhan Batu Sumatera Utara,061-517554,,061-511638
324,Paripurna swakarsa,Salim," Central Plaza, 10th Floor, Jl.Jend.Sudirman Kav.47 Jakarta 12930",021-5702288,,021-5702244
325,"Pasang Kayu I,II",Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung      Jakarta13930",(021)4616555,,(021)4616550
326,"Pati Sari, PT", ,"Jl.Mesjid 129, Medan, North Sumatera",061-518293,, 
327,"Patria Kamo, PT", ,"Jl.Hindu No.33, Medan North Sumatera",061-513443,,061-513250
328,"Paya Pinang, PT", ,"Jl.Samanhudi No.15 Medan, North Sumatera",061-516076,53887,061-518611
329,"Payung Negeri Perkasa, PT",Surya Dumai," Wisma GKBI, 31st Floor, Jl.Jend.Sudirman,      Kav 28 Jakarta Selatan",021-5740834,,021-5740837
330,"PD.Perk.Sumatera Utara, PT",State,Jl.Masjid No.173 Medan North Sumatera,,, 
331,"Peputra Materindo, PT", ,"Jl.Prof.M.Yamin SH No.48 B, Peka Baru, Riau",0761- 41382,44762,0761- 44763
332,"Peputra Surya Jaya, PT", ,"Jl.Prof.M.Yamin SH No.48 B, Peka Baru, Riau",0761- 41382,44762,0761- 44763
333,"Perapen, PT",Monopoli Raya,"Jl.Sunggal No.91 Medan, North Sumatera",061-851744,859744,061-851625
334,"Perdana Intisawit Perkasa, PT",Surya Dumai," Wisma GKBI, 31st Floor, Jl.Jend.Sudirman,      Kav 28 Jakarta Selatan",021-5740888,,021-5740383
335,Perimex NV, ,"Jl.Mesjid 129, Medan, North Sumatera",061-518295,, 
336,Perkasa Nusaguna, , ,,, 
337,"Perkebunan Lembah Bakti, PT",Astra,"Jl.Pulo Ayang raya,Blok OR Kav.1 Kawasan industri Pulogadung Jakarta      Timur",(021)4616555,,(021)4616550
338,Perkebunan Nusantara (Mitra Ogan),State,Jl.Sei Sikambing Medan North Sumatera,061-852244,853100,061-855177
339,Perkebunan Nusantara I (Alur Puntie),State,"Jl.Kebon Baru, Langsa, Aceh Timur, D.I.Aceh",0641-21701/04,,064121700/03
340,Perkebunan Nusantara I Sei Buatan,State,"Jl.Kebon Baru, Langsa, Aceh Timur, D.I.Aceh",0641-21701/04,,064121700/03
341,"Perkebunan Nusantara I, PT",State,"Jl.Kebon Baru, Langsa, Aceh Timur, D.I.Aceh",0641-21701/04,,064121700/03
342,Perkebunan Nusantara II Prafi & Arso/Prafi,State,Tanjung Morawa Km 16 Desa Bakalia Tanjung Morawa Medan North Sumatera,061-940164,,061-940233
343,"Perkebunan Nusantara II, PT",State,Tanjung Morawa Km 16 Desa Bakalia Tanjung Morawa Medan North Sumatera,061-940164,,061-940233
344,"Perkebunan Nusantara III, PT",State,Jl.Sei Sikambing Medan North Sumatera,061-852244,853100,061-855177
345,Perkebunan      Nusantara IV (Pirsus I Bgn Sinembah),State,"Pebatu, Tebing Tinggi, Deli North Sumatera",061-21425,21157,061-21064
346,Perkebunan Nusantara IV (Pirtrans),State,"Pebatu, Tebing Tinggi, Deli North Sumatera",061-21425,21157,061-21064
347,Perkebunan Nusantara IV (Sei Bahar)/Pirsus,State,"Pebatu, Tebing Tinggi, Deli North Sumatera",061- 21425,21157,061- 21064
348,"Perkebunan Nusantara IV, PT",State,"Pebatu, Tebing Tinggi, Deli North Sumatera",061-21425,21157,061-21064
349,Perkebunan Nusantara V (Cot Girek),State, ,,, 
350,Perkebunan Nusantara V (Eks PTP II/Pirsus Siak),State, ,,, 
351,Perkebunan Nusantara V (Pitrans),State, ,,, 
352, Perkebunan Nusantara V (Sei      Garo),State, ,,, 
353,Perkebunan Nusantara V Sei Galuh (Pirsus),State, ,,, 
354,Perkebunan Nusantara V Sei Tapung (Pirsus),State, ,,, 
355,"Perkebunan Nusantara V, PT",State,Jl.Ronggoarsito No.40 Pekan Baru Riau,0761-26744,26488,0761-24190
356,Perkebunan Nusantara VI,State, ,,, 
357,Perkebunan Nusantara VI (Padasa 6 Utama),State, ,,, 
358,Perkebunan Nusantara VI (Sangkulirang- Petangis),State, ,,, 
359,"Perkebunan Nusantara VI, PT",State,Jl.Katip Sulaiman No.54 Padang 25137 West Sumatera,0751-40811/14,,0751-40815
360,Perkebunan Nusantara VII (Eks PTP XXIII) (Pir),State,"Jl.Teuku Umar No.300 Bandar Lampung, Lampung",0721- 702233,,0721- 702775
361,Perkebunan Nusantara VII (Sosa/Pir Trans),State,"Jl.Teuku Umar No.300 Bandar Lampung, Lampung",0721- 702233,,0721- 702775
362,"Perkebunan Nusantara VII, PT",State,"Jl.Teuku Umar No.300 Bandar Lampung, Lampung",0721-702233,,0721-702775
363,"Perkebunan Nusantara VIII, PT",State,Jl.Sindang Sirna No.4 Bandung West Java,022-2038966,,022-231455
364,Perkebunan Nusantara X (Tebenan),State, ,,, 
