no,member id,logo,brand name,company name,principal and vice,address,email
97,2019.000047.A,https://arebijatim.org/files/2019.000047.A-RaywhiteLogoVer2-02 hitam.png,RAY WHITE GEDANGAN,PT. MILENIAL PROPERTINDO GRUP,Bagus Wiwid Kurniawan,"Puri Surya Jaya, Taman Athena Blok H03-45, Gedangan, Sidoarjo
Telp. 031 – 99603777",rwgedangan@gmail.com
98,2019.000056.A,https://arebijatim.org/files/2019.000056.A-MP.jpg,MATAHARI PROPERTY,CV. TUJUH MATAHARI PROPERTY,Handoyo,"Jl. Ikan Sura No.38 Tambak Rejo 
Telp. 081233795226",matahariproperty18@gmail.com
99,2019.000050.A,https://arebijatim.org/files/2019.000050.A-kash up.jpg,KASH-UP,PT.KASH ALPHA SENTRA HOLDINDO,Alamanda Firmansyah (Alamz),"Jl. I Gusti Ngurah Rai Kompleks Ruko Puri Mas Blok A5 No 9 
Gunung anyar Rungkut Surabaya
Telp. 031-87855714",office@kash-up.id
100,2019.000051.A,https://arebijatim.org/files/2019.000051.A-propnex satelit.jpg,PROPNEX SATELIT,PT. TIGA SEKAWAN PROPERTINDO,Johannes Edwin Harjanto,"Jl. Raya Kupang Jaya B-5 Surabaya
Telp. 031-99145577",Propnex.satelit@gmail.com
101,2019.000127.A,https://arebijatim.org/files/2019.000127.A-pro3m.jpg,PRO3M,CV. PRO MITRA MANDIRI MAKMUR,Linda Setiawati,Perum Graha Juanda Blok A5 Damarsi Sidoarjo,Pro3_office@yahoo.com
102,2019.000155.A,https://arebijatim.org/files/2019.000155.A-rw one musi.jpg,RAY WHITE ONE MUSI,PT. DWIMITRA INDO JAYA,Muliatje Liman,"Untung Suropati 94, Surabaya
Telp. 031-99537888",raywhiteone@gmail.com
103,2019.000156.A,https://arebijatim.org/files/2019.000156.A-XM BDG.jpg,XAVIER MARKS BDG,PT. ANUGERAH CAKRAWALA PROPERTINDO,Henky Harijanto,"Office Park 1 B1/25 Ruko BDG, Surabaya
Telp. 031-99148504",Info.xmbdg@gmail.com
104,2019.000157.A,https://arebijatim.org/files/2019.000157.A-quick touch.jpg,QUICK TOUCH PROPERTY,PT. BERKAH PILAR PROPERTI,Denny Eka Permana Putra,"Jl. Permata 5B Graha Bunder Asri Gresik
Telp. 031-39926811",denaiidjr@gmail.com
105,2019.000158.A,https://arebijatim.org/files/2019.000158.A-XM Vertu.jpg,XAVIER MARKS VERTU,PT. GOSYEN MAKMUR SENTOSA,Tri Wahyudi Kristanto,"Jl. Raya Gubeng No.32 L Surabaya
Telp. 031-99022929",Info.xmvertu@gmail.com
106,0001.000915.A,https://arebijatim.org/files/0001.000915.A-nt.jpg,3 IN ONE PROPERTY,PT. GALAXY TRINITY GROUP,Ronny Alfianus Henuk,"Semolowaru Timur 2 No. 71, Surabaya
Telp : 5966465",galaxy.property.1@gmail.com
107,0001.000868.A,https://arebijatim.org/files/0001.000868.A.jpg,XAVIER MARKS PAKUWON INDAH,PT. XMARK PUTRI BERKAT,Lauw Evie Ludy,"Tokan Waterplace A 25-26 Pakuwon Indah Surabaya
Telp. 031 – 7393497",info.xmpakuwonindah@gmail.com
108,0001.000824.A,https://arebijatim.org/files/0001.000824.A-Propnex Citraland2.jpg,PROPNEX CITRALAND,PT. PROPNEX MITRA PROPERTINDO,Aylen Yelenacia & Fery,"Ruko North Junction RB-15, Citraland – Surabaya
Telp : 03199002377",fa.propnexcitraland@gmail.com
109,0001.000908.A,https://arebijatim.org/files/0001.000908.A-axc.jpg,AXELL CITRALAND,PT. GRAHA SAPTARANGI INDONESIA,Stivanus Hindra,"Ruko Sentra Taman Puspa Raya blok B No.15 Citraland Surabaya
Telp. 031 – 99160999",axell.citraland@gmail.com
110,0001.000800.A,https://arebijatim.org/files/0001.000800.A-Era Jatim.jpg,PT. ERA JATIM,PT. ERA JATIMREALTY,Bobby Liantono Kodrat,"Ruko Plaza Graha Famili Blok B-03 Jl. Mayjen Yono Suwoyo, Surabaya
Telp : 031 99 143 700",era.jatim92@gmail.com
111,0001.000826.A,https://arebijatim.org/files/0001.000826.A-galaxy.jpg,GALAXY PROPERTY,PT. ERA GALAXY RADIANT,Veronica Sutantio dan Kennard Nugraha (Vice),"Komplek Ruko Golden Palace A-18-19 Surabaya Jl. H. R. Muhammad 373-383
Telp : 731 8555",info@galaxyproperty.co.id
112,0001.000885.A,https://arebijatim.org/files/0001.000885.A-era indo.jpg,ERA KITA,PT. SIETO UTAMA,Kho Martono Indra,"Jl. Raya Lontar No. 299, Surabaya
Telp : 745 5999  Fax : 745 3999",erakitagroup@gmail.com
113,0001.000030.A,https://arebijatim.org/files/0001.000030.A-PropNex Indonesia2.jpg,PROPNEX INDONESIA,PT. PROPNEX REALTY INDONESIA,Lusiana,"Jl. Dr. Sutomo 37 Surabaya
Telp : 031 5685577
Fax : 031 5682255",sekretariat@propnex.co.id
114,0001.000817.A,https://arebijatim.org/files/0001.000817.A-MANSION3.jpg,MANSION PLATINUM TEAM,CV. MANSION PROPERTY,Sanjaya Surya (Samuel),"Jl. Mustika 143-S, Ngagel, Surabaya
Telp : 031 99444888",mansionplatinum@gmail.com
115,0001.000818.A,https://arebijatim.org/files/0001.000818.A-ray white..jpg,RAY WHITE CBD SURABAYA,PT. PASIFIK PROPERTI CIPTA,Tjipto Kaharudin,"Jl. Basuki Rahmat No.48 Surabaya
Telp : 031 5490888
Fax : 031 5481688",cbdsurabaya@raywhite.co.id
116,0001.000853.A,https://arebijatim.org/files/0001.000853.A-uhome2.jpg,U HOME,PT. WERE PRO INDONESIA,Alice Chung Hwa Gwat,"Jl. Raya Panjang Jiwo,
Ruko Delta Permai 1B No. 3 Surabaya",uhome.were@gmail.com
117,0001.000855.A,https://arebijatim.org/files/0001.000855.A-db.jpg,DB REAL ESTATE INDONESIA,PT. TRI MUDA BERKARYA,Theophilus William,"Jl. Dharmahusada Indah Timur 15/V 305, Surabaya
Telp. 031-5954103",informasi.dbrei@gmail.com
118,2019.000049.A,https://arebijatim.org/files/2019.000049.A-versus.jpg,VERSUS REAL ESTATE AGENT,PT. MAJU TRIKARYA SEJAHTERA,Joe Aditia Prasetio,"Komp. Pertokoan Darmo Park II Blok 2 No.21, Surabaya
Telp. 0821 3232 9898",info@versus.co.id
119,2019.000179.A,https://arebijatim.org/files/2019.000179.A-XM Gold Suncity.jpg,XAVIER MARKS GOLD SUNCITY,PT. TANGAN EMAS SEJAHTERA,Michael Wiyono,"Ruko Suncity Jl. Pahlawan No.15 Sidoarjo
Telp. 031 9971 1895",Info.xmgoldsuncity@gmail.com
120,2019.000180.A,https://arebijatim.org/files/2019.000180.A-xm cbd.jpg,XAVIER MARKS CBD,PT. BERJAYA KASIH KARUNIA,M. Douglas Pexi,"Jl. RA. Kartini No. 82 Surabaya
Telp. 031-9953 8999",Info.xmcbd@gmail.com
121,2019.000185.A,https://arebijatim.org/files/2019.000185.A-stream.jpg,STREAM PROPERTY,PT. ADITAMA AGENSI PROPERTI,Cahyono Honoatmojo,"Jl. Gayungsari I / 81 B-C Surabaya
Telp. 031 8251 2432",office@streamproperty.id
122,2019.000192.A,https://arebijatim.org/files/2019.000192.A-galaxy central.jpg,GALAXY CENTRAL,PT. GALAXY SUKSES PROPERTINDO,Erry Hudojo,"Rukan Darmo Square No. 54-56 Surabaya
Telp. 031 9953 2389",Central@galaxyproperty.co.id
123,2020.000222.A,https://arebijatim.org/files/2020.000222.A-repro.jpg,REBORN PROPERTY,PT. ANEKA USAHA PASTI SUKSES,Muhammad Hanif Jordanto,"Ruko Satelite Town Square Blok D/6 Sukomanunggal Surabaya
Telp : 031 8701990",aupsukses@gmail.com
124,2020.000227.A,https://arebijatim.org/files/2020.000227.A-XM Grande.jpg,XAVIER MARKS GRANDE,PT. XMARKS CAHAYA ABADI,Fanny Setiawan,"Jl. Raya Langsep No.7A Malang
Telp. 0341 5087799 / 5087798",Info.xmarksgrande@gmail.com
125,2020.000255.A,https://arebijatim.org/files/2020.000255.A-LIFETIME-new.png,LIFETIME.,PT. INTERNUSA CITRA ANUGERAH,Serfi Cherry,"Ruko Bukit Palma GHG Blok RG 2 No.21 Citraland Surabaya 60198
Telp. 031-99019598",lifetime.citraland@gmail.com
126,2020.000256.A,https://arebijatim.org/files/2020.000256.A-asthanawa.jpg,ASTHANAWA,CV. ASTHA NAWA PROPERTINDO,Muhammad A. Nasir,"Ruko PPS, Jl. Raya Berlian Biri No.44/kav.59 Gresik
Telp. 085822533301",Muhnasir875@gmail.com
127,2020.000289.A,https://arebijatim.org/files/2020.000289.A-mansion satelit.jpg,MANSION SATELIT,CV. MANSION PROPERTINDO JAYA,Daru Hendrianto,"Jl. Mayjend Sungkono Ruko Darmo 1 Blok III C No.10 Surabaya
Telp. 031 9954 4094",Mansionsatelit@gmail.com
128,2020.000305.A,https://arebijatim.org/files/2020.000305.A-mansion royal.jpg,MANSION ROYALE,PT. INDO TIRTA PERKASA,Daru Hendrianto,"Ruko Soho Royal Residence BS 10 No. 23 Wiyung Surabaya
Telp. 031 99428999",Mansion.royale2018@gmail.com
129,2020.000304.A,https://arebijatim.org/files/2020.000304.A-rwhr.jpg,RAY WHITE HR. MUHAMMAD,PT. KARYA KASIH KARUNIA,Bambang Budiono,"Jl. HR. Muhammad No.86-A Surabaya
Telp. 031 7328939",Acc.rwhrmuhammad@gmail.com
130,2021.000038.A,https://arebijatim.org/files/2021.000038.A-xm grande home.png,XAVIER MARKS GRANDE HOME,PT CAHAYA ABADI PROPERTINDO,PETER ANDREAS / MARIA ELLEN RATNAPUSPITA,Ruko Milenia Jl. Klampis Jaya 41 Surabaya,info.xmgrandehome@gmail.com
131,2021.000037.A,https://arebijatim.org/files/2021.000037.A-era next.jpg,ERA NEXT,PT. NEXINDO MAJU BERSAMA,Hariono,"Ruko North Junction RB-5, Citraland Surabaya
Telp. 031 5116 0455",Eranext05@gmail.com
132,2021.000114.A,https://arebijatim.org/files/2021.000114.A-rw darmo permai.png,RAY WHITE DARMO PERMAI,PT. KARUNIA WINERALI DINAMIKA,Erwin Koo & Mery Tan (VICE),"Jalan Darmo Permai III, Ruko Pasar Modern Puncak Permai No. 32, Pradahkalikendal, Dukuh Pakis, Surabaya (60226)
No. Telp 031-99143223",raywhitedarmopermai@gmail.com
133,2021.000058.A,https://arebijatim.org/files/2021.000058.A-WhatsApp Image 2021-05-19 at 11.27.21.jpeg,UNIQ REALTY,PT. TANGGA DUNIA GRUP,Henoch Rahardjo,Ruko Klampis Madya A-20 Surabaya,tanggaduniagrup@gmail.com
134,2021.000070.A,https://arebijatim.org/files/2021.000070.A-BETTERLAND - LOGO 05.png,XAVIER MARKS BETTERLAND,PT. BINTANG TUJUH PROPERTINDO,Rony Mahadika Sitepu,"Jl. Basuki Rahmat No.16-18 Kedungdoro,
Kec. Tegalsari Surabaya
Telp. 081234988458",info.xmbetterland@gmail.com
135,...,https://arebijatim.org/files/...-logo.jpeg,Five Stars Property,PT Internusa Graha Anugerah,Luscer Helmut Siagian,Ruko Puncak Dharmahusada 3i Jl. Dr. Ir. H. Soekarno no 30-32 (MERR) Surabaya 60114,fivestarsproperty.5stars@gmail.com
136,2021.000090.A,https://arebijatim.org/files/2021.000090.A.png,BE THE BEST PROPERTY,CV. DIBERKATI UNTUK MEMBERKATI,Ester Oktafia,International Village 1 Blok B2 No.24 Sambikerep Surabaya Jawa Timur,betebeproperty@gmail.com
137,2021.000091.A,https://arebijatim.org/files/2021.000091.A-Logo Alternative Pro edge-04-04.png,Pro EdGe,CV. PRO EDGE COMAA KASIH,Joseph Lukito,Griya Babatan Mukti Blok M No.62 Surabaya,proedgecv@gmail.com
138,2021.000092.A,https://arebijatim.org/files/2021.000092.A.png,MISSION PROPERTY,PT. REKAN PROPERTI INDONESIA,Maria Fitri Wiyono,"Jl. Gentengkali 176 E, Surabaya
Telp. 031-9924 7060",missionproperty.cons@gmail.com
139,0001.000820.A,https://arebijatim.org/files/0001.000820.A-LIFETIME sq.png,LIFETIME,PT. INTERNUSA GRAHA BERKAT,Serfi Cherry,Margorejo Tangsi VI No. 10 Surabaya,lifetime.graha@gmail.com
140,2021.000132.A,https://arebijatim.org/files/2021.000132.A-1.png,GALAXY CBD,PT. GALAXY PUTRA PRIMA,Edy Santoso,"Jl. Sriwijaya 42, Surabaya
Telp. 031-5620500",cbd@galaxyproperty.co.id
141,2021.000133.A,https://arebijatim.org/files/2021.000133.A-2.png,GALAXY KERTAJAYA,PT. GALAXY PUTRA GEMILANG,Karlina Juwita,"Jl. Kertajaya No. 115, Surabaya
Telp. 031-5055999",kertajaya@galaxyproperty.co.id
142,2021.000143.A,https://arebijatim.org/files/2021.000143.A.png,PIRAMIDA PROPERTY,PT. KARYA PEMBANGUNAN UTAMA,Abdul Muis,"Jl. Raya Tropodo 92, Waru Sidoarjo
Telp. 0822 3135 5777",piramidaproperty2000@gmail.com
143,2021.000130.A,https://arebijatim.org/files/2021.000130.A-xm arundaya.jpg,XAVIER MARKS ARUNDAYA,PT. XAVIER ARUNDAYA SARWAGA,Pudjo Kiat Djoyo,"Ruko Casablanca Blok D, Jl. Wahid Hasyim No. 25-27 Jember
Telp. 0331 5105 888",info.xmarksarundaya@gmail.com
144,2021.000166.A,https://arebijatim.org/files/2021.000166.A-22.IMG-20211224-WA0219.jpg,RAY WHITE GRAND PAKUWON,PT. PROPERTI POWER PRIMA,Robert Lonardi,"Ruko Victoria Main Street RA-023, Grand Pakuwon, Surabaya
Telp. 0813 7069 7788",propertipowerprima@gmail.com
