no,merek dagang,tujuan,kategori
530,PROCURE 20 WP ,"penyakit hawar daun Helminthosporium turcicum, penyakit bulai Peronosclerospora maydis ",umum 
531,REGIO 250 SC ,"penyakit hawar daun Helminthosporium turcicum, penyakit karat Puccinia sorghi ",umum 
532,"AMORATOP 375 SC, ARYTOP 300 EC, ZOLE 250 EC ",penyakit hawar daun Helminthosporium turcicum ,umum 
533,RECOR PLUS 300 EC ,penyakit hawar daunHelminthosporium turcicum ,umum 
534,CUSTODIA 320 SC ,penyakit busuk pelepahRhizoctonia solani ,umum 
535,MAXANIL 27 WP ,"penyakit bulai Peronosclerospora maydis, penyakit hawar daun  Helminthosporium turcicum ",umum 
536,"EXPLORE 250 EC, TRIVIA 73 WP ","penyakit bulai Peronosclerospora maydis, penyakit hawar daun Helminthosporium turcicum ",umum 
537,"CAPTIVE 35 SD, CORONA 325 SC, DORUM 350 SC, FLASHER 250 SC, INSURE MAX 510 FS, NATIVO 75 WG, PROLAXYL 25 WP, SPHINX 500 SC, TANDEM 325 SC, TIFLO 80 WP ",penyakit bulai Peronosclerospora maydis ,umum 
538,"DECIS 25 EC, METINDO 80 SL ","penggerek batang Ostrinia furnacalis, penggerek tongkol Helicoverpa armigera ",umum 
539,"DELTAKING 565 EC, MERIT 250 CS, REGENT 0,3 GR ",penggerek tongkol Helicoverpa armigera ,umum 
540,"HOPPER 500 EC, MARSHAL 5 GR ",penggerek tongkol Heliothis armigera ,umum 
541,NATIVO 75 WG ,penyakit bulai Helminthosporium turcicum. ,umum 
542,RIDOMIL GOLD 350 ES ,penyakit bulai Perenosclerospora maydis ,umum 
543,METALAX 35 SD ,penyakit bulai Peronosclerosora maydis ,umum 
544,CRUISER 350 FS ,kutu daun Rhopalosiphum maidislalat bibit Atherigona sp.wereng Peregrinus maidis  ,umum 
545,CONFIDOR 200 SL ,kutu daun Rhopalosiphum maidis ,umum 
546,"MARSHAL 25 DS, METINDO 80 SL ",lalat bibit Atherigona exigua ,umum 
547,"PENALTY 50 SC, SUMITHION 500 EC ",lalat bibit Atherigona sp. ,umum 
548,INSURE 200 FS ,meningkatkan komponen hasil tanaman ,umum 
549,BIGEST 40 EC ,"meningkatkan tinggi tanaman, meningkatkan jumlah daun, meningkatkan panjang dan lebar, warna daun, dan bobot kering pipilan, meningkatkan diameter batang, meningkatkan bobot tongkol ubinan, meningkatkan bobot 100 butir jagung ",umum 
550,GALIL 300 SC ,hama werengPereginus maydis ,umum 
551,SANVIN 88 SP ,hama belalang Oxya Chinensis ,umum 
552,MARXONE 300 SL* ,"gulma gulma berdaun lebar Ageratum conyzoides, Borreria alata, Synedrella nodiflora; golongan rumput Ischaemum timorense, Cynodon dactylon, Eleusiine indica, Digitaria ciliaris ",umum 
553,CONVEY 336 SC ,gulma berdaun lebar Richardia brasiliensis ,umum 
554,AMEGRASS 500 SC ,gulma berdaun lebar Synedrella nodiflora ,umum 
555,ROUNDUP POWERMAX 660 SL ,"Gulma berdaun lebar Mimosa invisa, Biden pilosa, teki Cyperus rotundus ",umum 
556,CONVEY 336 SC ,"gulma berdaun lebar Borreria alata, Croton hirtus, gulma berdaun sempit Brachiaria mutica ",umum 
557,AMEGRASS 500 SC ,"gulma berdaun lebar Borreria alata, Cleome rutidospermum ; gulma berdaun sempit Paspalum conjugatum, Digitaria ciliaris, teki Cyperus spp. ",umum 
558,NOXONE 297 SL* ,"gulma berdaun lebar Ageratum conyzoides, synedrella nodiflora, Borreria sp., Murdania nodiflora, amaranthus spinosus ; gulma berdaun sempit Elausine indica, Pasalum conjugatum, teki Cyperus sp. ",umum 
559,SUPRETOX 276 SL* ,"gulma berdaun lebar Ageratum conyzoides, Synedrella nodiflora, Borreria alata, gulma berdaun sempit paspalum conjugatum ",umum 
560,TOLERAN 75 WG ,"gulma berdaun lebar Ageratum conyzoides, Cleome rutidosperma, Richardia brasiliensis, gulma berdaun sempit Eleusine indica ",umum 
561,AVIXA 500 SC ,"gulma berdaun lebar Ageratum conyzoides, Cleome rutidosperma, Euphorbia hirta, Synedrella nodiflora, gulma berdaun sempit  Digitaria ciliaris, Echinochloa crus-galli, Eleusine indica ",umum 
562,NAIF 600 SL ,"gulma berdaun lebar Ageratum conyzoides, Borreria ap., gulma berdaun sempit Digitaria adscendens ",umum 
563,AMEGRASS 500 SC ,gulma berdaun lebar Ageratum conyzoides ,umum 
564,DELTAXONE 280 SL* ,gulma berdaun lebar Borreria alataSynedrella nodifloragolongan rumputPaspalum conjugatum  ,umum 
565,BATARA 135 SL* ,gulma berdaun lebar Ageratum conyzoidesgolongan rumputPaspalum conjugatum ,umum 
566,CERTO 90 WP ,gulma berdaun lebar Ageratum conyzoidesCleome rutidospermaSynedrella nodifloragolongan rumputDigitaria spp. ,umum 
567,YASITHRIN 30 EC ,belalang Patanga succincta ,umum 
568,"CONFIDOR 200 SL, MATADOR 25 EC ",belalang Oxya sp. ,umum 
569,"AMCOTHENE 75 SP, DELTAKING 565 EC, HOPPER 500 EC, RUDAL 25 EC, SPONTANKING 400 SL ",belalang Oxya chinensis ,umum 
570,"EMCINDO 500 EC, KALIANDRA 482 EC, MIPCINDO 50 WP, MIPCINTA 50 WP ",belalang Locusta sp. ,umum 
571,PENALTY 50 SC ,belalang Locusta migratoria ,umum 
572,MATADOR 25 EC ,perusak buah Heliothis sp. ulat grayak Spodoptera sp. ,umum 
573,METIL-GAS 98 LG* ,Sitophilus zeamais ,umum 
574,GILAS 130 SL ,"gulma berdaun lebar Euphorbia hirta Ageratum conyzoides, Borreria alata ; gulma berdaun sempit Digitaria adscendens, Axonopus compressus ",umum 
575,BENXONE 276 SL* ,gulma berdaun lebar Ageratum conyzoidesBorreria alataPhylanthus niruri ,umum 
576,BENXONE 276 SL* ,golongan rumputAxonopus compressus ,umum 
577,V-ORYZAE 48/4 WP ,"gulma berdaun lebarvBidens pilosa, Richardia brasiliensis, Synedrella nodiflora; gulma berdaun sempit Brachiaria mutica, Cynodon dactylon, Panicum repens; teki Cyperus rotundus ",umum 
578,CONVEY COMPLETE 310 SC ,gulma berdaun sempit Cynodon dactylon ,umum 
579,SIDABAS 400 EC ,hama belalangLocusta sp. ,umum 
580,KLENSECT 200 EC ,hama belalangOxya chinensis ,umum 
581,WISESA PHOSPHIDE 56 TB* ,hama gudangSitophilus oryzaeTribolium castaneum ,umum 
582,"INDOFUME 99,8 GA* ",hama gudangSitophilus spp. ,umum 
583,PROFATH 50 SC ,lalat bibitAtherigona exigua ,umum 
584,WINGRAN 70 WS ,lalat bibit Atherigona exigua ,umum 
585,RAMPART-MAX 317 FS ,penyakit bulaiPerenosclerospora maydis ,umum 
586,"AP2 385 FS, REMORA 50 WP ",penyakit bulaiPeronosclerospora maydis ,umum 
587,TRIVIA 73 WP ,penyakit bulai Peronosclerospora maydispenyakit hawar daun Helminthosporium turcicum  ,umum 
588,TRIVIA 73 WP ,penyakit bulai Peronosclerospora maydis  ,umum 
589,CONVEY COMPLETE 310 SC ,"gulma berdaun lebar Richardia brasiliensis, Praxelis clematidea, Calopogonium mucunoides, Ipomea tribola; gulma berdaun sempit Dactyloctenium aegyptium, Digitaria ciliaris, Eleusine indica, Echinochloa colonium, Paspalum commersonii; teki Cyperus iria ",umum 
590,BENIX 550 SC ,"gulma berdaun lebar Digitaria cliliaris, Setaria plicata ",umum 
591,IVORY 68 WP ,gulma berdaun lebar Commelina diffusa; gulma berdaun sempit Panicum repens; teki Cyperus repens ,umum 
592,SALENDO 550 SC ,gulma berdaun lebar Borreria alata ,umum 
593,NICOZIN 550 SC ,"gulma berdaun lebar Bidens pilosa, Ipomoea triloba; golongan rumput Cynodon dactylon, Echinochloa colona, Panicum repens; teki Cyperus rotundus ",umum 
594,CORACLE 300 EC ,"gulma berdaun lebar Bidens pilosa, Borreria alata, Cleome rutidosperma; gulma berdaun sempit, Axonopus compressus, Brachiaria mutica, Digitaria cilliaris, Panicum repens, Cynodon dactylon; teki Cyperus rotundus ",umum 
595,RESIK 550 SC ,"Gulma berdaun lebar Alternanthera piloxeroides, Biden pilosa, Borreria alata, Cleome rutidospermae; Gulma berdaun sempit, Anoxopus compressus, Brachiaria mutica, Digitaria ciliaris, Setaria palmifora; teki Cyperus rotundus ",umum 
596,SALENDO 550 SC ,"gulma berdaun lebar Ageratum conyzoides, Richardia brasiliensis, Synedrella nodiflora; gulma berdaun sempit Eleusine indica ",umum 
597,ATRATRIN 550 SC ,"gulma berdaun lebar Ageratum conyzoides, Euphorbia hirta, Synedrella nodiflora; gulma berdaun sempit Eleusine indica ",umum 
598,ATRADEX 550 SC ,"gulma berdaun lebar Ageratum conyzoides, Euphorbia hirta, Synedrella nodiflora, Richardia brassilensis; gulma berdaun sempit Digitaria indica, Eleusine indica ",umum 
599,AGAXYS 400 SC ,"gulma berdaun lebar Ageratum conyzoides, Euphorbia hirta, Synedrella nodiflora ",umum 
600,BESTAR 200 SL ,"gulma berdaun lebar Ageratum conyzoides, Cloeme rutidospermae; golongan rumput Brachiaria mutica, Cynodon dactylon, Digitaria ciliaris, Synedrella nodiflora ",umum 
601,METRAZINE 560 SC ,"gulma berdaun lebar Ageratum conyzoides, Cleome rutidospermae, Richardia brasiliensis, Synedrella nodiflora; golongan rumput Eleusine indica, Digitaria ciliaris ",umum 
602,BIG BEN 170 SL ,"gulma berdaun lebar Ageratum conyzoides, Cleome rutidospermae, Euphorbia prunifolia, Synedrella nodiflora; gulma berdaun sempit Eleusine indica, Setaria plicata ",umum 
603,"BENIX 550 SC, SORALIS 550 SC ","gulma berdaun lebar Ageratum conyzoides, Borreria alata, Synedrella nodiflora; gulma berdaun sempit Eleusine indica ",umum 
604,BELARIS 50/500 SC ,"gulma berdaun lebar Ageratum conyzoides, Borreria alata, Synedrella nodiflora; gulma berdaun sempit Eleusine indica, Digitaria ciliaris, Paspalum conjugatum ",umum 
605,MESOTA 80 WG ,"gulma berdaun lebar Ageratum conyzoides, Borreria alata, Richardia brassiliensis, Synedrella nodiflora; gulma berdaun sempit Eleusine indica, Digitaria ciliaris, Paspalum conjugatum ",umum 
606,SRI JATORI 550 SC ,"gulma berdaun lebar Ageratum conyzoides, Borreria alata, Euphorbia hirta, Synedrella nodiflora; gulma berdaun sempit Digitaria ciliaris, Eleusine indica ",umum 
607,CALARIS 550 SC ,gulma berdaun lebarAgeratum conyzoidesAlternanthera philoxeroidesEuphorbia prunifloraSynedrella nodiflora ,umum 
608,SANTAQUAT 276 SL* ,gulma berdaun lebarAgeratum conyzoidesBorreria alatagulma berdaun sempitDigitaria adscendens ,umum 
609,DELSTAR PLUS 500 EC ,Alphitobius sp. ,umum 
610,"BASAMID 98 GR, STARNER 20 WP ",penyakit layu bakteri Pseudomonas solanacearum ,umum 
611,METEOR 25 EC ,pengisap buah Helopeltis spp. ,umum 
612,DETAZEB 80 WP ,penyakit embun tepung Oidium sp. ,umum 
613,TUGARD 160/10 EC ,"ulat grayak Spodoptera litura, pengisap daun Nezara viridula ",umum 
614,ALIKA 247 ZC ,ulat grayak Spodotera litura ,umum 
615,METEOR 25 EC ,pengisap buah Chysocoris javanus ,umum 
616,DESKOR 95 WP ,"meningkatkan jumlah tunas baru, jumlah bunga, jumlah buah ",umum 
617,"ALIKA 247 ZC, DECIS 25 EC ",kutu putih Ferrisia virgata ,umum 
618,AGATA 1 GR ,"Aedes aegypti, Culex quinquefasciatus ",umum 
619,MARSHAL 200 EC ,tungau Tetranychus sp. ,umum 
620,SUMIALPHA 25 EC ,"tungau merah Tetranychus sp., kutu daun Toxoptera aurantii ",umum 
621,TIFLO 80 WP ,"penyakit embun tepung Oidium tingitaninum, semut kerak Lichenes sp. ",umum 
622,MITIGATE 18 EC ,tungau karat Eriohyidae spp. ,umum 
623,NATIVO 75 WG ,"penyakit embun tepung Oidium tingitaninum, penyakit antraknosa Colletotrichum gloeosporioides ",umum 
624,"BELVO 80 WG, EXPLORE 250 EC ",penyakit embun tepung Oidium tingitaninum ,umum 
625,NOVICURE-D 81 WG ,penyakit embun tepungOidium tingitanium ,umum 
626,THIONIC 76 WG ,penyakit embun tepungOidium tingitanium ,umum 
627,MERPAN 80 WG ,penyakit embun tepungOidium sp. ,umum 
628,FOLIRFOS 400 SL ,penyakit busuk pangkal batang Phytophthora sp. ,umum 
629,RAYDENT 200 EC ,"pengorok daun Phyllocnistis citrella, hama aphid Toxoptera citridea ",umum 
630,RAYDOCK 28 EC ,"pengorok daun Phyllocnistis citrella, kutu daun Aphis sp. ",umum 
631,DECIS 25 EC ,"pengisap pucuk Diaphorina citri, kutu daun Toxoptera citricidus ",umum 
632,BIGEST 40 EC ,meningkatkan pembentukan buah ,umum 
633,CITROLE 790 SL ,pengisap daun Diaphorina citri ,umum 
634,BIGEST 40 EC ,"meningkatkan besar buah, meningkatkkan berat buah, meningkatkan produksi buah ",umum 
635,RUDOR 200 SL ,"kutu loncat Diaphorina citri, kutu daun Aphis sp. ",umum 
636,"ABUKI 50 SL, ALIKA 247 ZC, BIOCRON 500 EC, BRAVO 50 EC, MATADOR 25 EC, METEOR 25 EC, SENATOR 200 EC ",kutu loncat Diaphorina citri ,umum 
637,FENTOLIN 200 EC ,Kutu loncatDiaphorina citri ,umum 
638,STARMETRIN 100 EC ,kutu daun Toxoptera citricidus ,umum 
639,KANON 400 EC ,kutu daun Toxoptera citridus ,umum 
640,TALSTAR 25 EC ,"kutu daun Toxoptera sp., kutu loncat Diaphorina citri ",umum 
641,STARMETRIN 100 EC ,kutu daun Diaphorina citri ,umum 
642,CONFIDOR 200 SL ,"kutu daun Aphis sp., kutu loncat Diaphorina citri , penggerek daun Phyllocnictis citrella ",umum 
643,"ABUKI 50 SL, VALERA 200 EC ",kutu daun Aphis sp. ,umum 
644,BESTOX 50 EC ,kutu daun Toxoptera sp. ,umum 
645,FURY 50 EC ,hama trips Scirtothrips sp.  ,umum 
646,FENVAL 200 EC ,hama Diaphorina citri ,umum 
647,ANTILAT 90 BB ,lalat buah Bactrocera spp. ,umum 
648,MOSPILAN 30 EC ,Phyllocnistis citrella ,umum 
649,CUSTODIA 320 SC ,penyakit embun tepungOidium sp. ,umum 
650,REVUS 250 EC ,penyakit blendokPhytophthora citrophthora ,umum 
651,AGRIMEC 18 EC ,penggerek daun Phyllocnistis citrella ,umum 
652,ACTARA 25 WG ,kutu loncatThrips sp.tungau tetranyhcus sp. ,umum 
653,SAMITE 135 EC ,hama tungau Tetranychus sp. ,umum 
654,ACTARA 25 WG ,kutu loncatDiaphorina citriAphis sp ,umum 
655,PREVATHON 50 SC ,ulat grayak Spodoptera litura ,umum 
656,NATIVO 75 WG ,penyakit bercak daun Cercospora canescens ,umum 
657,NATIVO 75 WG ,penyakit karat Uromyces phaseoli ,umum 
658,SUMIALPHA 25 EC ,"penggulung daun Lamprosema indicata, lalat bibit Agromyza sp., perusak daun Plusia chacites, ulat grayak Spodoptera litura, penggerek polong Maruca testulalis ",umum 
659,SPONTANKING 400 SL ,penggerek polong Maruca testulalis ,umum 
660,SUMITHION 500 EC ,Penggerek polong Etiella zinckenella ,umum 
661,ALIKA 247 ZC ,kutu daun Aphis craccivora ,umum 
662,DECIS 25 EC ,lalat bibit Agromyza phaseoli  ,umum 
663,ACTARA 25 WG ,ulat grayakSpodoptera liturapenggulung daun Lamprosema indicata ,umum 
664,AGRIMEC 18 EC ,"ulat grayak Spodoptera litura, perusak daun Phaedonia inclusa, penggulung daun  Lamprosema indicata, penggerek polong Etiella zinckenella, pengisap polong Riptortus linearis ",umum 
665,LOSMINE 50 EC ,penggulung daunLamprosema indicata ,umum 
666,NATIVO 75 WG ,penyakit karat Uromyces vignaee ,umum 
667,"ARIKU 430 SC, EXPLORE 250 EC, PROCURE 20 WP ",penyakit bercak daun Cercospora vignae ,umum 
668,TRIVIA 73 WP ,penyakit antraknosa Colletotrichum lindemutianumvignae penyakit bercak daun Cercospora vignae  ,umum 
669,PREVATHON 50 SC ,pengorok daun Liriomyza huidobrensis ,umum 
670,DELTAKING 565 EC ,"penggerek polong Maruca testutalis, kutu daun Aphis craccivora ",umum 
671,PREVATHON 50 SC ,penggerek polong Maruca testutalis ,umum 
672,SUMIALPHA 25 EC ,"penggerek polong Maruca testulalis, pengorok daun Liriomyza sp., kutu daun Aphis craccivora ",umum 
673,"INVINSI 70 WG, METEOR 25 EC ","penggerek polong Maruca testulalis, kutu daun Aphis craccivora ",umum 
674,"AGROFOS 480 EC, AGROTRIN 250 EC, ALIKA 247 ZC, INOVA 25 EC ",penggerek polong Maruca testulalis ,umum 
675,CONFIDOR 200 SL ,"kutu daun Aphis sp., hama trips Thrips sp., pengisap daun Empoasca sp. ",umum 
676,APRISID 25 WP ,"kutu daun Aphis cracivora, penggerek polong Maruca testulalis ",umum 
677,DECIS 25 EC ,"kutu daun Aphis craccivora, ulat jengkal Chrysodeixis chalcites ",umum 
678,MATADOR 25 EC ,"kutu daun Aphis craccivora, penggerek polong Meruca tertulalis ",umum 
679,"AGROFOS 480 EC, AGROTRIN 250 EC, ALIKA 247 ZC ",kutu daun Aphis craccivora ,umum 
680,KANON 400 EC ,"hama Thrips sp., kutu daun Aphis sp. ",umum 
681,PREZA 100 OD ,"hama pengorok daun Liriomyza huidobrensis, hama trips Thrips palmi, penggerek polong Maruca testulalis, kutu daun Aphis craccivora, kutu kebul Bemisia tabaci ",umum 
682,"ACTARA 25 WG, AGRIMEC 18 EC ",penggerek polong Maruca testulalis ,umum 
683,"BELAWAN 365 EC, PACE 420 SC ",penggerek polongMaruca testulalis ,umum 
684,PROSID 150 EC ,"kutu daun Aphis craccivora, penggerek polong Maruca testulalis ",umum 
685,ACTARA 25 WG ,kutu daun Aphis craccivora ,umum 
686,METPLUS 40 SP ,kutu daunAphis cracivora ,umum 
687,NATIVO 75 WG ,penyakit karat Puccinia arachidis ,umum 
688,BENLOX 50 WP ,penyakit bercak daun Cercospora personata ,umum 
689,BENLOX 50 WP ,penyakit bercak daun Cercospora arachidicola ,umum 
690,REMAZOLE 250 EC ,penyakit becak daun Cercospora sp ,umum 
691,CONFIDOR 5 WP ,"pengisap daun Empoasca sp., perusak bunga dan polong Stomopteryx subsecivalla ",umum 
692,CRUISER 350 FS ,kutu daun Aphis sp. ,umum 
693,AGIL 100 EC ,gulma berdaun lebar Commelina diffusagulma berdaun sempit Cynodon dactylonEchinochloa nodosaLeptochloa chinensisteki Cyperus rotundus  ,umum 
694,SEVIN 85 SP ,hama perusak daunPlusia chalcites ,umum 
695,PESNAB 4 EC ,penyakit vascular streak dieback (VSD)Oncobasidium theobromae ,umum 
696,MUNJUL 80 SL ,penghisap buah Helopeltis antonii ,umum 
697,STREPTOMY WP ,penyakit busuk buah Phytophthora palmivora ,umum 
698,FOLIRFOS 400 SL ,penyakit busuk buah Phytophthora palmivora ,umum 
699,BRAVO 50 EC ,hama penghisap buah Helopeltis antonii ,umum 
700,EMCINDO 500 EC ,penghisap buah Helopeltis sp. ,umum 
701,"AMCOTHENE 75 SP, GOBANG 110 EC ",pengisap buah Helopeltis antonii ,umum 
702,TREBON 95 EC ,pengisap buah Helopeltis sp. ,umum 
703,TALSTAR 25 EC ,hama penggerek buah  Canopomorpha cramerella ,umum 
704,SUPRETOX 276 SL* ,gulma berdaun sempit Ottochloa nodosa ,umum 
705,KOMODOR 300/100 SL ,"gulma berdaun sempit Axonopus compressus,Crytococum sp., ",umum 
706,"GLIFOMIN 300/100 SL, SUPRETOX 276 SL* ",gulma berdaun sempit Axonopus compressus ,umum 
707,GILAS 130 SL ,"gulma berdaun lebar Synedrella nodiflora, gulma berdaun sempit Axonous comressus, Paspalum conjugatum ",umum 
708,GEMPUR 480 SL ,"gulma berdaun lebar Synedrella nodiflora, Achyranthes indica, Galinsoga parviflora, Commelina diffusa, Mikania micrantha, teki Cyperus killingia ",umum 
709,BIONASA 75 WG ,"gulma berdaun lebar Borreria alata,Centrosema pubescens, Chromolaena odorata, Calopogonium mucunoides, Euphorbia hirta ; gulma berdaun sempit Paspalum conjugatum ",umum 
710,SIDAFOS 480 SL ,"gulma berdaun lebar Ageratum conyzoides, Mikania cordata, gulma berdaun sempit Digitaria adscendens ",umum 
711,AMCOPYR 670 EC ,"gulma berdaun lebar Ageratum conyzoides, Clidemia hirta, Melastoma affine ",umum 
712,SUPREMO 480 SL ,"gulma berdaun lebar Ageratum conyzoides, Cleome rutidosperma, gulma berdaun sempit Paspalum conjugatum, Setaria plicata, gulma semak/berkayu Clidemia hirta ",umum 
713,GLIFOMIN 300/100 SL ,"gulma berdaun lebar Ageratum conyzoides, Borreria sp., gulma berdaun sempit Setaria plicata ",umum 
714,SERBU 160 SL ,"gulma berdaun lebar Ageratum conyzoides, Borreria alata, gulma berdaun sempit Ottochloa nodosa, Axonopus compressus, Paspalum conjugatum ",umum 
715,BATARA 135 SL* ,golongan rumputPaspalum conjugatum ,umum 
716,SISTEMIK 240 SL ,gulma berdaun lebar Borreria alataCentrosema pubescensClidemia hirtagolongan rumputPaspalum conjugatum ,umum 
717,BATARA 135 SL* ,golongan rumputOttochloa nodosa ,umum 
718,SUN UP 480 SL ,gulma rumputPaspalum conjugatum ,umum 
719,KRESNAXONE 297 SL* ,"gulma berdaun lebar Borreria alata, Synedrella nodiflora, Melastoma affine, gulma berdaun sempit Ottochloa nodosa ",umum 
720,JUMP UP 555 SL ,"gulma berdaun lebar Ageratum conyzoides, Clidemia hirta, gulma berdaun sempit Ottochloa nodosa, Paspalum conjugatum ",umum 
721,OBIN 310/115 SL ,gulma berdaun lebarAgeratum conyzoidesBorreria alataMikania micranthagulma berdaun sempitSetaria plicata ,umum 
722,RAZOR 240 SL ,"gulma berdaun lebar Euphorbia hirta, Centrosema pubescens,Chromolaena odorata, Borreria alata,Calopogoniun mucunoides; gulma berdaun sempit Paspalum conjugatum ",umum 
723,ROUNDUP POWERMAX 660 SL ,"gulma berdaun lebar Ageratum conyzoides, Borreria alata, gulma berdaun sempit Digitaria ciliaris, Paspalum conjugatum ",umum 
724,PUMA 160 SL ,gulma berdaun lebarBorreria alatagulma berdaun sempitAxonopus compressus ,umum 
725,VIGOR 100 EC ,"ulat kilan Hyposidra talaca, penggerek buah Canopomorpha cramarella ",umum 
726,"MATADOR 25 EC, TETRIN 36 EC ",ulat kilan Hyposidra talaca ,umum 
727,PENALTY 50 SC ,"semut api Solenopsis geminata, rayap tanah Coptotermes curvignathus ",umum 
728,CADILAC 80 WP ,penyakit busuk buah Phytophthora palmovora ,umum 
729,POLYCOM 70 WG ,penyakit bususk buah Phytophthora palmivora ,umum 
730,KONTAF 50 SC ,penyakit pembuluh kayupenyakit Vascular Streak Dieback (VSD)Oncobasidium theobromae ,umum 
731,NATIVO 75 WG ,penyakit pembuluh kayu Oncobasidium theobromae ,umum 
732,RECOR PLUS 300 EC ,penyakit Vascular Streak Diaback (VSD) Oncobasidium theobromae ,umum 
733,KANMULUS 80 WG ,penyakit busuk buah Phytohthora palmivora ,umum 
734,"ANTILA 80  WP, BAZOKA 80 WP, BENOTOP 50 WP, COZEB 80 WP, PROCURE 20 WP, REVUS 250 EC, SIDAZEB 80 WP, TANDEM 325 SC, TRIVIA 73 WP ",penyakit busuk buah Phytophthora palmivora ,umum 
735,KONTAF 50 SC ,penyakit busuk buahPhytophthora palmivora ,umum 
736,BRASSO 250 EC ,"pengisap buah Helopeltis antonii, penggerek buah Conopomorpha cramerella ",umum 
737,CHLORMITE 400 EC ,"pengisap buah Helopeltis antonii, penggerek buah kakao Canopomorpha cramerella ",umum 
738,RUDAL 25 EC ,"pengisap buah Helopeltis antonii, ulat kilan Hyposidra talaca ",umum 
739,"CYPERMAX 100 EC, FASTAC 15 EC, FENVAL 200 EC, MARSHAL 200 EC ",pengisap buah Helopeltis sp. ,umum 
740,CROWEN 113 EC ,pengisap buah kakao Helopeltis antonii ,umum 
741,"ALIKA 247 ZC, BASILIO 50 WP, CAPTURE 50 EC, CYRUX 50 EC, DECIS 25 EC, DELTA 25 EC, DHARMABAS 500 EC, DIAZINON 600 EC, EXTRATIN 200 EC, METAL 30 EC, METEOR 25 EC, METINDO 25 WP, METINDO 80 SL, MIPCIN 50 WP, MIPCINDO 50 WP, MIPCINTA 50 WP, SALVADOR 25 EC, SCUD 50 EC, SINOBAN 400 EC, SINOMETRIN 100 EC, SUMIALPHA 25 EC, SUMITHION 500 EC, TIKAM 50 EC, TUGARD 160/10 EC, VIGOR 100 EC ",pengisap buah Helopeltis antonii ,umum 
742,JAYAM 50 EC ,penghisap buah kakao Helopeltis sp ,umum 
743,MATADOR 25 EC ,penghisap buah Helopeltis sp. ,umum 
744,"TETRIN 36 EC, TOMBAK 189 EC ",penghisap buah kakao Helopeltis antonii ,umum 
745,"PROMECTIN 18 EC, RESPECT 200 EC ",penghisap buah Helopeltis antonii ,umum 
746,KLENSECT 200 EC ,penggerek buah kakao Conopomorpha cramerella ,umum 
747,ALIKA 247 ZC ,"penggerek buah kakao Canopomorpha cramerella, ulat kilan Hyposidra talaca, kutu putih Planococcus sp. ",umum 
748,TIKAM 50 EC ,penggerek buah kakao Canopomorha cramerella ,umum 
749,CAPTURE 50 EC ,penggerek buah kakao Canopomorpha cramerella ,umum 
750,"BENTO 50 EC, MATADOR 25 EC, PREVATHON 50 SC, SALVADOR 25 EC, TOMBAK 189 EC ",penggerek buah Conopomorpha cramerella ,umum 
751,BESTOX 50 EC ,"penggerek buah Canopomorpha cramerella, pengisap buah Helopeltis sp. ",umum 
752,"CROWEN 113 EC, CYPERMAX 100 EC, DASATRIN 110 EC, FORZA 50 SC, METEOR 25 EC, PENALTY 50 SC, RAYDENT 200 EC, RAYDOCK 28 EC, RUDAL 25 EC ",penggerek buah Canopomorpha cramerella ,umum 
753,SIDAFUR 3 GR ,penggerek batang Zeurera cofeae ,umum 
754,BELVO 80 WG ,jamur upas Upasia salmonicolor ,umum 
755,LABANA 255 SC ,"meningkatkan pembentukan pucuk, jumlah buah muda, jumlah buah yang dipanen, dan bobot kering biji ",umum 
756,SEVIN 85 SP ,hama penghisap buah Helopeltis antonii ,umum 
757,VELOCE 400 SL ,hama penghisap buah Helopeltis antonii ,umum 
758,GLIDAMIN 300/100 SL ,golongan rumputAxonopus compressusOttochloa nodosa ,umum 
759,NOXONE 297 SL* ,"gulma berdaun lebar Ageratum conyzoides, Synedrella nodiflora, Croton hirtus ; gulma berdaun sempit Paspalum conjugatum, Setaria plicata, Axonopus compressus ",umum 
760,CARINO 250 EC ,penyakit busuk buah Phytophtora palmivora ,umum 
761,EXPLORE 250 EC ,penyakit busuk buah   Phytophthora palmivora ,umum 
762,PHYMAR C 67 SL ,penyakit busuk buahPhytophthora palmivora ,umum 
763,ABADO 50 WP ,Penyakit busuk buahPhytophthora  palmivora ,umum 
764,CORONA 325 SC ,penyakit busuk buahPhytophora palmivora ,umum 
765,CHIX 25 EC ,penghisap buahHelopeltis spp. ,umum 
766,BT MAX TB ,hama penghisap buah Helopeltis sp. ,umum 
767,LUFU 150 SC ,penghisap buahHelopeltis sp. ,umum 
768,MANDAR 45 WP ,hama penghisap buahHelopeltis antonii ,umum 
769,NEPOREX 2 WG ,larva lalat Musca spp. ,umum 
770,NUVET PLUS 600 EC ,lalatMusca domestica ,umum 
771,"AGITA 10 WG, FLYTOX 1 P (Cabut) ",lalat Musca domestica ,umum 
772,CYFOS 40 WP ,kutu ayam Menopon gallinae ,umum 
773,CYFOS 40 WP ,caplak sapi Boophilus microplus ,umum 
774,CYFOS 40 WP ,caplak anjing Riphicephalus sanguineus ,umum 
775,"CONFIDOR 200 SL, MARSHAL 200 EC, MARSHAL 200 SC ",wereng kapas Sundapteryx biguttula ,umum 
776,SUMIALPHA 25 EC ,ulat buah Helicoverpa armigera ,umum 
777,BRAVO 50 EC ,Penggerek pucuk Heliothis armigera ,umum 
