no,kpdti,nama pts,alamat,kode pos,telp,fax
176,33152,Sekolah   Tinggi Manajemen Asuransi Trisakti,KAMPUS A   TRISAKTI GEDUNG A JL. JEND. A. YANI KAV. 85 JAKARTA TIMUR,13210,4893931,4701841
177,33077,Sekolah   Tinggi Manajemen IMMI,JL. RAYA   PASAR MINGGU NO 26 JAKARTA SELATAN JAKARTA SELATAN,12520,021-7817823,021-7815144
178,33075,Sekolah   Tinggi Manajemen IMNI,JAKARTA SELATAN,,,
179,33068,Sekolah   Tinggi Manajemen IPMI,JL.   RAWAJATI TIMUR I NO. 1 KALIBATA JAKARTA   SELATAN,12750,021-7970419,021-7970374/7970509
180,33047,Sekolah   Tinggi Manajemen Industri Indonesia,JAKARTA BARAT,,,
181,33064,Sekolah   Tinggi Manajemen Labora,JL.   CISADANE NO. 2 CIKINI  JAKARTA PUSAT,10330,3926469,3900702
182,33069,Sekolah   Tinggi Manajemen PPM,JL.   MENTENG RAYA 9  JAKARTA PUSAT,10340,2300313,2302051
183,33067,Sekolah   Tinggi Manajemen Prasetiya Mulya,JL. R.A.   KARTINI CILANDAK BARAT JAKARTA   SELATAN,12430,021-7657257,021-7511125
184,33176,Sekolah   Tinggi Manajemen Resiko Dan Asuransi,BINA   SENTRA RUANG ARIMBI 102 JL JEND GATOT SUBROTO KAV 71 JAKARTA SELATAN,12870,0218296617,0218305614
185,33029,Sekolah   Tinggi Manajemen Transpor Trisakti,JL. IPN   NO.2 CIPINANG BESAR JAKARTA   TIMUR,13210,021-8516050,021-8569340
186,33143,Sekolah   Tinggi Manajemen Transportasi Malahayati,JL SUNGAI   TIREM NO.43 KEL MARUNDA BARU JAKUT JAKARTA   UTARA,14140,021   44850410,021   44851530
187,33123,Sekolah   Tinggi Manajemen Yaksi,JL. RAYA   PROTOKOL HALIM PERDANA KUSUMA JAKARTA   TIMUR,0,021-8009118,021-8009118
188,33195,Sekolah   Tinggi Media Komunikasi Trisakti,JAKARTA TIMUR,,,
189,33185,Sekolah   Tinggi Pariwisata Pelita Harapan,JL. M.H.   THAMRIN 00-00 LIPPO KARAWACI TANGERANG TANGERANG,15811,5460901,5460910
190,33134,Sekolah   Tinggi Pariwisata Sahid,JL.KEMIRI   NO.22 PONDOK CABE CIPUTAT JAKARTA   SELATAN,15418,"021-7402329,7402339",021-7428152
191,33114,Sekolah   Tinggi Pariwisata Trisakti,JL.IKPN   –  BINTARO TANAH KUSIR JAKARTA SELATAN,12330,021-7377738,021-73887763
192,33070,Sekolah   Tinggi Penerbangan Aviasi,WISMA   ALDIRON DIRGANTARA JL.GATOT SOEBROTO NO.72 JAKARTA SELATAN,12780,(021)   7991886,(021)   7991923
193,33094,Sekolah   Tinggi Perpajakan Indonesia,JL.   MATRAMAN RAYA NO. 27 JAKARTA TIMUR JAKARTA TIMUR,13140,021-8506067,021-8506067
194,33104,Sekolah   Tinggi Teknik PLN,JL LINGKAR   LUAR BARAT DURI KOSAMBI CENGKARENG JAKARTA   BARAT,11750,5440342 /   5440344,5440343
195,33136,Sekolah   Tinggi Teknologi 10 November,JL RAYA BOGOR NO 1 CILILITAN JAKARTA   TIMUR JAKARTA   TIMUR,13510,021-8096077,021-8096077
196,33046,Sekolah   Tinggi Teknologi Indonesia,JL.   MATRAMAN NO. 3-5-7  JAKARTA TIMUR,13150,0218564791/2,02185911590
197,33175,Sekolah   Tinggi Teknologi Informasi NIIT,JL.ASEM   DUA NO.22 CIPETE JAKARTA   SELATAN,12410,021-7515870,021-7691108
198,33006,Sekolah   Tinggi Teknologi Jakarta,"JL.   JATIWARINGIN RAYA NO.278, PONDOK GEDE, JAKARTA   JAKARTA TIMUR",17411,"8462316,8461155",8463692
199,33049,Sekolah   Tinggi Teknologi Kelautan Hatawana,JAKARTA TIMUR,,,
200,33160,Sekolah   Tinggi Teknologi Sapta Taruna,JL. D.I.   PANJAITAN KAV. 12 CAWANG JAKARTA   TIMUR,13340,"021   8195277, 8194644",021   8194243
