no,nama media,jenis media,penanggung jawab,pemimpin redaksi,badan hukum,provinsi,alamat,email
375,suarantb.com,Siber,Desak Putu Raka Akriyani,Desak Putu Raka Akriyani,SUARA NTB PERS,Nusa Tenggara Barat,Jl. Bangau No.15 Cakranegara,suarantb.com2020@gmail.com
376,majalahintrust.com,Siber,NOFRIALDI NOFI SASTERA,NOFRIALDI NOFI SASTERA,Media Jembatan Merah Putih,Sumatera Barat,"JL. GANG ATLAS 2 NO.44 KEL. ULAK KARANG UTARA KEC. PADANG UTARA, KOTA PADANG PROV SUMATERA BARAT",mediajembatanmerahputih@gmail.com
377,koranmedan.online,Siber,Zul Anwar Ali Marbun,Zul Anwar Ali Marbun,Koranmedan Komen Mediatama,Sumatera Utara,"Jalan Taut/Sukaria No. 31 Kelurahan Sidorejo Kecamatan Medan Tembung, Medan20222",redaksi@koranmedan.online
378,membaranews.com,Siber,Ayu Kusuma Ningtyas,Ayu Kusuma Ningtyas,Nusantara Media Membara,Sumatera Utara,Jl Manunggal Gg. Pribadi No. 07 Medan Denai,membaranews007@gmail.com
379,sulawesion.com,Siber,Supardi Bado,Supardi Bado,Sahabat Sulawesi Online,Sulawesi Utara,"Jalan Losik Lobud, Kopandakan 1, Kecamatan Kotamobagu Selatan, Kota Kotamobagu",redaksisulawesion01@gmail.com
380,inilahmedan.com,Siber,Yoko Soesilo Chou,Yoko Soesilo Chou,Berkah Inilah Medan ,Sumatera Utara,Jalan Ngalengko Gg Keluarga No. 13 Medan,srikurniawanbambang@gmail.com
381,kaltengnews.co.id,Siber,Pahit Sediarsi Narottama,Pahit Sediarsi Narottama,Media Pembangunan Kalteng,Kalimantan Tengah,"Gedung Business Center Batang Garing Jl. D.I. Panjaitan No.01, Lt. 1, Kav. 101",kaltengnews.co.id@gmail.com
382,Tabloid Moral Riau,Cetak,Khairullah,Khairullah,Moral Riau Perkasa,Riau,"Jl Garuda I No 2 Kelurahan Perhentian Marpoyan, Kecamatan Marpoyan Damai , Kota Pekanbaru Provinsi Riau",maswir42@gmail.com
383,Harian Rakyat Kaltara,Cetak,Yudhi Perdana,Yudhi Perdana,Duta Berau Lintasmedia,Kalimantan Utara,"Jl. Cendana RT. 051 RW. 019, Kecamatan Tanjung Selor, Kabupaten Bulungan.",harian.rakyat.kaltara0109@gmail.com
384,pelitatoday.com,Siber,Pangihutan Simatupang,Pangihutan Simatupang,Media Pelita Sukses,Kepulauan Riau,"Kompleks Ruko Tembesi Point, Lt.2 Blok B No.2, Batam-Kepulauan Riau.",redaksipelitatoday@gmail.com
385,BatamNow.com,Siber,Marganas Nainggolan,Marganas Nainggolan,Batam Siber Media Indonesia,Kepulauan Riau,Ruko Kompleks Sukajadi Blok A1 No. 16,redaksi@batamnow.com
386,radartulungagung.jawapos.com,Siber,Ariyanti Kurnia Rokhmana,Didin Cahyo Firmansyah , Tulungagung intermedia digital,Jawa Timur,Jalan Jayengkusomo no 44 Tulungagung,digitalratu@gmail.com
387,Lensaindonesia.com,Siber,D. Wahjoe Harjanto,D. Wahjoe Harjanto,Lensa Indonesia Global Media,Jawa Timur,"Sky Suites SOHO Samator R. 1107, Jl. Raya Kedung Baruk No. 25 – 28 Surabaya",redaksi@lensaindonesia.com / redaksilensaindonesia@gmail.com
388,radarbromo.co.id,Siber,Muhammad Fahmi,Muhammad Fahmi,Probolinggo Intermedia Pers,Jawa Timur,"Jl. Soekarno Hatta No. 98 RT. 003 RW. 002 Kelurahan Pilang, Kecamatan Kademangan, Kota Probolinggo",online.jprb@gmail.com
389,GPriority,Cetak,Lukman A.Salendra,Lukman A.Salendra,Gemilang Larasati Nusantara,DKI Jakarta,"Jalan Howitzer Raya no.46 RT.10/02 Sumur Batu, kemayoran, Jakarta Pusat 10640",gpriorityredaksi@gmail.com
390,nusantarapos.co.id ,Siber,Joko Wiyono,Joko Wiyono,Nusantara Pos Media,Jawa Timur,Jl. Veteran no 2 Pacitan Jawa Timur,redaksinp@gmail.com
391,KabarTamiang.com,Siber,Zainal Bakri,Zainal Bakri,Media Timur Jaya,Aceh,Jalan Sekerak Dusun Bahagia Kampung Bundar Kecamatan Karang Baru Kabupaten Aceh Tamiang.,kabartamiang@gmail.com
392,Radar Banyumas,Cetak,Yudhis Fajar Kurniawan,Yudhis Fajar Kurniawan,Wahana Semesta Banyumas,Jawa Tengah,Jl Soepardjo Roestam No 88 Sokaraja Kulon,radarbanyumas2003@yahoo.com
393,kabar.news,Siber,Al Ullah Azhar,Al Ullah Azhar,Kabar Media Nusantara,Sulawesi Selatan,"Ruko CitraLand Celebes, Blok C/26, Gowa-Sulsel",kabarnewsroom@gmail.com
394,saibumi.com,Siber,Donny Irawan,Ruslan Fikri,Saibumi Media Utama,Lampung,"Jalan Sultan Ageng Tirtayasa, No. 12, Kel. Sukabumi Indah, Kec. Sukabumi, Bandar Lampung, Lampung 35134",saibumi@yahoo.co.id
395,Koran Peduli,Cetak,Poltak Emerson T.,Poltak Emerson T,Bintang Umaro Media,Kepulauan Riau,Jl. Cendrawasih Batu 8 Atas Lr. Saudara No.80 Tanjungpinang,peduli.redaksi@gmail.com
396,askara.co,Siber,Dar Edi Yoga,Wilson Bernadus Lumi,Askara Himeka Yandra,DKI Jakarta,"Menara Era, Lantai 5 lot 3, Jl. Senen Raya 135 - 137, Jakarta Pusat",redaksiaskara@gmail.com
397,sumutcyber.com,Siber,Amir Syarifuddin,Amir Syarifuddin,Berkah Sumut Media,Sumatera Utara,JALAN AH. NASUTION NO. 84C MEDAN,sumutcyber5@gmail.com
398,Mjnews.Id,Siber,Musriadi Musanif,Musriadi Musanif,Milenial Jurnalis Mediatama,Sumatera Barat,"Jalan Lansano Nomor 1 Lolong Belanti, Kecamatan Padang Utara",mjnews.id@gmail.com
399,sumateranews.co.id,Siber,Donni,Donni,Husnul Sumatera News,Sumatera Selatan,"Jalan Angkatan 45, Gang Semeru, RT. 003, RW. 003, NO. 117, Kel. Gunung Ibul Barat, Kec. Prabumulih Timur",mediasumateranews@gmail.com
400,majalahmataborneonews.com,Siber,ACENG MUKARAM,ACENG MUKARAM,MEDIA BORNEO NAULY,Kalimantan Barat,"JL. PEMUDA TUNGKUL, RUKO PASAR RAKYAT NO.3-4 DI MINIMART MITRA ORCHID LT.2.. KEC; NGABANG, KAB. LANDAK",redaksimataborneonews@gmail.com
401,voi.id,Siber,Iqbal Irsyad,Iqbal Irsyad,Voi Media Informasi,DKI Jakarta,"Jl. Tebet Barat Dalam III, No. 20 RT.06/RW.03, Tebet, Jakarta Selatan",personalia@voi.id
402,Mureks.online,Siber,Sulis,Sulis,Wahana Musirawas Media,Sumatera Selatan,Jalan Yos Sudarso nomor 89 rt 006 Kelurahan Batu Urip Taba Kecamatan Lubuklinggau Timur I,mureks.online@gmail.com
403,Sumselterkini.co.id,Siber,M. Nasir,Irwan Wahyudi,Berkah Media Utama,Sumatera Selatan,"Jalan Harapan Jaya I No.06 RT 31 / 008 Sei-Selayur, Kalidoni, Palembang, 30118",erwin.yusrizal@gmail.com
404,suaraindonews.com,Siber,TUMPAK SIDABUTAR,TUMPAK SIDABUTAR,DWIWARNA KREASI MEDIA,DKI Jakarta,Gedung Pembina Graha Blok 2 Ruang 112.Jl. DI Panjaitan No. 45 Jakarta Timur 13350,redaksi@suaraindonews.com
405,Headline Lampung,Cetak,Ruslan Fikri,Ruslan Fikri,Headline Multimedia Lampung,Lampung,"Perumahan Bumi Puspa Kencana Pramuka Blok M No. 2 Jl. Pramuka, Raja Basa Bandar Lampung",redaksiheadlinelampung@gmail.com
406,baliviralnews.com,Siber,Nyoman Sarmawa,Nyoman Sarmawa,Media Bali Utama,Bali,Jalan Ahmad Yani Gang Satria Utama No.60 Denpasar,nyoman_sarmawa@yahoo.com
407,sakanews.com,Siber,Triadi Pramono,Triadi Pramono,Saka News Brilliant,Lampung,"Jl. Pajajaran Jagabaya 2 No. 60, Kecamatan Way halim",redaksisakanews@gmail.com || mediaaji.n.rd@gmail.com
408,monologis.id,Siber,Taufik Kurohman,Taufik Kurohman,Media Satria Nusantara,Lampung,"Jl. Nusantara 1 No. 8 Labuhan Ratu, Labuhan Ratu Raya",redaksimonologis@gmail.com
409,Radio Azam ,Radio,Khairul Amri,Khairul Amri,Radio Azam Mitra Umat,Kepulauan Riau,Jalan Angkasa Bukit Sidomulyo Kecamatan Karimun Kabupaten Karimun,radioazamfm@yahoo.com
410,Kabarpas.com,Siber,Sugeng Irawan,Sugeng Irawan,Media Masyah Publika,Jawa Timur,"Perum Pesona Candi 1 Blok C-18, Kelurahan Sekargadung, Kecamatan Purworejo, Kota Pasuruan",shohibulhujjah@gmail.com
411,wartasuluh.com,Siber,Adrian Tuswandi,Adrian Tuswandi,Warta Suluh Negeri,Riau,"Jalan Singgalang Gang Saudara No. 8 Kelurahan Tangkerang Timur, Kecamatan Tenayan Raya",wartasuluhnegeri@gmail.com
412,fajarsumatera.co.id,Siber,Riko Firmansyah,Riski Abung ,Fajar Intermedia Utama ,Lampung,"Jl Perintis Kemerdekaan, No 154, Kelurahan Tanjung Gading, Kecamatan Kedamaian, Kota Bandar Lampung",fajarsumatera.redaksi@gmail.com
413,masapnews.com,Siber,Muhamad Zainal,Muhamad Zainal,Tambun Bungai Perkasa,Kalimantan Tengah,Jalan Brigjend Katamso XIV Kel. Tumbang Anjir Kec. Kurun Kuala Kurun,masap.news@gmail.com
414,mediaprospek.com,Siber,Marliyana,Marliyana,Banua Karya Mandiri,Kalimantan Selatan,"Jl. Pramuka/Jl. Melati Indah VII RT.10 No.47, Kel Sungai Lulut, Kec Banjarmasin Timur, Banjarmasin",mediaprospek2020@gmail.com
415,seputarpapua.com,Siber,SEVIANTO PAKIDING,Sevianto Pakiding,Pala Grafika Nusantara,Papua,"JALAN SAM RATULANGI, KELURAHAN INAUGA, DISTRIK WANIA, KOTA TIMIKA, KABUPATEN MIMIKA",redaksiseputarpapua@gmail.com
416,Media 24 jam,Cetak,Togang Sitorus,Togang Sitorus,ARTHA ULI JAYA,Sumatera Utara,JL. PERGURUAN TINGGI SWADAYA NO.7 KEL. BINJAI KEC. MEDAN DENAI,redaksimedia24jam@gmail.com
417,matabangsa.com,Siber,David Susanto,David Susanto,MEDIA MATA BANGSA,Sumatera Utara,"Jalan Puri No. 218 Kotamatsum II Kecamatan Medan AreaKota Medan, Sumatera Utara",davesantosa2002@gmail.com
418,deteksi.co,Siber,Togang Sitorus,Togang Sitorus,Deteksi Dorheta Dirga,Sumatera Utara,Jl. Pembangunan No. 132 Helvetia Timur Medan ,redaksideteksi.co@gmail.com
419,perspectivesnews.com,Siber,Djoko Purnomo,Djoko Purnomo,Purnama Media Persada,Bali,"Jl. Merdeka 10 Green Kori Sading, Mengwi, Kabupaten Badung",perspectivesnews1@gmail.com
420,Jelajahkepri.com,Siber,INDRA GUNAWAN,INDRA GUNAWAN,GIOPAS JAYA ABADI,Kepulauan Riau,Perum Graha Nusa Batam Blok H1 No 38,BoyPasaribu007@yahoo.com
421,RADAR SUKABUMI,Cetak,RAHMAD YANADI,RAHMAD YANADI,SUKABUMI EKSPRES MEDIA,Jawa Barat,"Jl. Selabintana St kp. panjalu desa No.105, Warnasari",radar.sukabumi20@gmail.com
422,Musirawas Ekspres,Cetak,SULIS,SULIS,Musirawas Media,Sumatera Selatan,Graha Pena Mureks Jl Yos Sudarso No.89 Kelurahan Batu Urip Taba Kota Lubuklinggau,musirawas.ekspres@gmail.com
423,Indonesia Raya,Cetak,HARIANOF,HARIANOF,INDO RAYA EKSPRES,Sumatera Barat,Jl. Jati Parak Salai No. 8 C Padang Timur,redaksi.indoraya@gmail.com
424,suaraindonesia.co.id,Siber,SHODIQ SYARIF,SHODIQ SYARIF,MULTIMEDIA SUARA INDONESIA,Jawa Timur,"Cluster Diponegoro Land No 8 Kecamatan Kalisat, Kebupaten Jember, Provinsi Jawa Timur",suaraindonesia5758@gmail.com
425,Aktual,Cetak,Khairul Muslim,Khairul Muslim,Inter Media Aktual,Sumatera Utara,Jl. Menteng VII No. 101 Medan,kr_aktual@yahoo.com -- intermediaaktual07@gmail.com
426,linggaupos.co.id,Siber,Endang Kusmadi,Endang Kusmadi,Wahana Linggau Media,Sumatera Selatan,Lantai Dasar Graha Pena Linggau Jalan Yos Sudarso No.4 RT.1 Kelurahan Watervang,online.linggaupos@gmail.com
427,Harian Perjuangan Baru,Cetak,David Susanto,David Susanto,MEDIA PERJUANGAN BARU,Sumatera Utara,Jalan Garu II B Kompleks Villa Harjosari Indah Tahap II No. 94 Medan,amson_purba@yahoo.com
428,inimedanbung.com,Siber,Yoko Soesilo Chou,Yoko Soesilo Chou,MEDIA MEDAN MANDIRI,Sumatera Utara,"Jalan KL Yos Sudarso Km 15,5 No 120 Medan Labuhan",yokowebs@gmail.com
429,hariansilampari.co.id (Silampari Online),Siber,Agus Hubya Handoyo,Agus Hubya Handoyo,Wahana Silampari Media,Sumatera Selatan,"Jln Yos Sudarso 59A Kel. Batu Urip Taba, Kec Lubuklinggau Timur I, Kota Lubuklinggau Provinsi Sumsel",silamparionline@yahoo.com
430,harian silampari,Cetak,Agus Hubya Handoyo,Agus Hubya Handoyo,Silampari Media Utama,Sumatera Selatan,Jl. Yos Sudarso No.59 A Kel. Kel. Batu Urip Taba Kec. Lubuklinggau Timur I Provinsi Sumatera Selatan,redaksihariansilampari@yahoo.com
431,Harian Pagi Linggau Pos,Cetak,Budi Santoso,Budi Santoso,Wahana Semesta Linggau,Sumatera Selatan,"Jl Yos Sudarso, No. 04, RT 01, Kelurahan Watervang, Kecamatan Lubuklinggau Timur I",redaksilipos@gmail.com
432,indosport.com,Siber,Abinery Hamzano,Abinery Hamzano,Media Sport Indonesia,DKI Jakarta,"Jl Pangeran Jayakarta no 45 Komplek Kota Indah Blok C8-10 Pinangsia, Tamansari, Jakarta Barat 11110",hrindosport@gmail.com
433,Analisadaily.com,Siber,H Hermansjah,H Hermansjah,Media Warta Digital,Sumatera Utara,Jl. Jend. Ahmad Yani No.35-49 Medan,redaksionline@analisadaily.com
434,radarkudus.jawapos.com,Siber,IDA NOR LAYLA,IDA NOR LAYLA,Kudus Intermedia Digital,Jawa Tengah,"Jalan Lingkar Utara No. 17 Desa Bacin, Kecamatan Bae",radarkudus@hotmail.com
435,medanposonline.com,Siber,Rifki Warisan,Farianda Putra Sinik,Sinar Agung Berdikari,Sumatera Utara,"Jl. Mayjen Siswomihardjo d/h Jl. Perdana No. 107-111, Medan",medanpos.ol@gmail.com
436,radarlombok.co.id,Siber,Tony Edy Wibowo,Tony Edy Wibowo,Selaparang Media Pratama,Nusa Tenggara Barat,Jalan Pelikan No. 3 Pajang Mataram,onlineradarlombok@gmail.com
437,radarsukabumi.com,Siber,Rahmat Yanadi,Rahmat Yanadi,Sukabumi Ekspres Media,Jawa Barat,"Jalan Selabintana KM 3,5 Panjalu ",radarskm.com@gmail.com
438,transkepri.com,Siber,Rinaldy Samjaya,Rinaldy Samjaya, Trans Kepri Media,Kepulauan Riau,"Ruko Cahaya Garden, Blok D 19, Kelurahan Sadai, Kecamatan Bengkong, Batam    Provinsi Kepulauan Riau",transkepri@gmail.com
439,globalcybernews.com,Siber,NGATIRIN,NGATIRIN,Global Cyber News,Sumatera Utara,JL. MAKMUR DUSUN V DAHLIA/ DAHLIA 35,doliimam.di@gmail.com
440,Harian Disway,Cetak,Tomy C. Gutomo,Tomy C. Gutomo,DISWAY RUMAH BERITA,Jawa Timur,Jalan Walikota Mustajab 76 ,redaksi@disway.id
441,Radar Mandalika,Cetak,ACHMAD SUKISMAN AZMY,ACHMAD SUKISMAN AZMY,MANDALIKA MEDIA PRATAMA,Nusa Tenggara Barat,Jl. Sultan Hasanudin No. 27 Praya Lombok Tengah,radarmandalika@gmail.com
442,mediasumutku.com,Siber,Puji Santoso,Puji Santoso,Media Sumutku Indonesia,Sumatera Utara,Jl. Padang Golf Komplek CBD Polonia Blok F No. 97-98,mediasumutku@gmail.com
443,radarpekalongan.co.id,Siber,Dony Widyo Haryanto,Dony Widyo Haryanto,Wahana Multimedia Pekalongan,Jawa Tengah,Jl Binagriya Raya B.1 No 9 Kota Pekalongan,radarpekalonganonline@gmail.com
444,mediaapakabar.com,Siber,Muhammad Arifin,Muhammad Arifin,Berkah Gultom,Sumatera Utara,"Jalan T Amir Hamzah No 65, Medan, Sumatera Utara","info@mediaapakabar.com, mediaapakabar@gmail.com"
445,Majalah Intrust,Cetak,NOFRIALDI NOFI SASTERA,NOFRIALDI NOFI SASTERA,Media Jembatan Merah Putih,Sumatera Barat,"JL. GANG ATLAS 2 NO.44 KEL. ULAK KARANG UTARA KEC. PADANG UTARA, KOTA PADANG PROV SUMATERA BARAT",redaksi.intrust@gmail.com
446,KORANSATU.ID,Siber,KADIRAH,KADIRAH,KORAN SATU UTAMA,DKI Jakarta,"ALDEOZ BUILDING CENTER FLOOR 6, jl Warung Jati Barat No.39 Kalibata, Pancoran, Jakarta Selatan",koransatu@yahoo.com
447,Haluansumatera.com,Siber,Kurnati Abdullah,Kurnati abdullah,Musi Intermedia Grup,Sumatera Selatan,Jln.Madang No.1911 Rt. 29 Sekip Jaya Palembang,haluansumatera@gmail.com
448,Radar Bangsa,Cetak,AGUNG BUDIARTO,AHMAD ZAINAL MUSHLIH,PT MEDIA RADAR BANGSA,Jawa Timur,Perum Griya Permata Insani Blok D-1 Nomor 35. Kematan Tikung,radarbangsa89@yahoo.com
449,Madutv Tulungagung ,Televisi,YATIMUL AINUN,YATIMUL AINUN,MADINULULUM MEDIA TELEVISI UMMAT,Jawa Timur,Jln.Sukomakmur 73 Campurdarat Tulungagung,madutvtulungagung@gmail.com
450,Intens News,Cetak,Muhamad Nasir,Muhammad Uzair,Multimedia Cahaya Nusantara,Sumatera Selatan,Jalan Tegal Binangun RT. 28 Ruko No 2,multimediacahaya1@gmail.com
451,Akurat.co,Siber,Rizal Maulana Malik,Rizal Maulana Malik,Akurat Sentra Media,DKI Jakarta,Jl. Tentara Pelajar Rukan Permata Senayan Blok A 15,akuratco@gmail.com
452,ekspresnews.com,Siber,ABDI MASA,ABDI MASA,INDO RAYA EKSPRES,Sumatera Barat,Jati Parak Salai No 8C,news.ekspres@gmail.com
453,Kabarsumbar.com,Siber,Adrian Tuswandi,Adrian Tuswandi,Treat Media Teknologi,Sumatera Barat,"Jalan Pontianak Nomor I/10, ulak karang selatan, kota Padang, Sumatera Barat, 25134",redaksi@kabarsumbar.com
454,Detak-Palembang.com,Siber,Ahmad Ghozali Mukti,Ahmad Ghozali Mukti,PENAMAS CIPTA MEDIATAMA,Sumatera Selatan,"Jl. Tj. Sari II, Bukit Sangkal, Kalidoni, Kota Palembang, Sumatera Selatan 30961, 0812-7255-7639",redaksidetakplg@gmail.com
455,mimbarumum.co.id,Siber,Jalaluddin,Ngatirin,Mimbar Maju Sejahtera,Sumatera Utara,"Jalan Pancasila No.2 (Simpang Jalan Denai) Kelurahan Tegalsari mandala III, Kecamatan Medan Denai, Kota Medan, Sumatera Utara",rinmas125@gmail.com
456,Palpos.id,Siber,Dian Fauzen,Bambang Samudera,Palpos Media Online,Sumatera Selatan,"Jl Kol H Burlian No 773/2 Gedung Palembang Pos Km 6,5 Kelurahan Karya Baru Kecamatan Alang-Alang Lebar Palembang Sumatera Selatan",palpos.id@gmail.com
457,scientia.id,Siber,AL IMRAN,AL IMRAN,SCIENTIA INSAN CITA INDONESIA,Sumatera Barat,"Perum Griya Elok Residence Blok P. 20, Kelurahan Batung Taba Nan XX, Kecamatan Lubuk Begalung, Kota Padang",scientiaku@gmail.com
458,bentengsumbar.com,Siber,"ZAMRI YAHYA, SHI","ZAMRI YAHYA, SHI",BENTENG SUMBAR PERSADA,Sumatera Barat,Jalan Piai Tangah RT.001/RW.001 Kelurahan Piai Tangah Kecamatan Pauh Kota Padang Sumatera Barat Kode Pos 25162 Indonesia.,bentengsumbar@gmail.com
459,harian vokal,Cetak,DHENI KURNIA,DHENI KURNIA,HARIAN VOKAL MEDIA,Riau,"JL. ARIFIN AHMAD NO .148 A KEL SIDOMULYO TIMUR KEC.MARPOYAN DAMAI, KOTA PEKANBARU, RIAU",harianvokal99@gmail.com
460,mentawaikita.com,Siber,Yuafriza,Yuafriza, Kreasindo Mediata Mentawai,Sumatera Barat,"Jl. Gng Semeru IV No 3, Gunung Pangilun, Kec. Padang Utara, Kota Padang, Sumatera Barat",mentawaikita@gmail.com
461,tobasatu.com,Siber,Hafnida Dalimunthe,Hafnida Dalimunthe,Toba Madia Sejahtera,Sumatera Utara,"Jalan SM Raja, Gg.Perhubungan No.21, Medan",redaksitobasatu@gmail.com
462,Figurnews.com,Siber,YUAMRAN,YUAMRAN,FIGUR ANUGRAH MEDIA,Sumatera Barat,"Jl. Bambu No.6 Ujung Gurun, Kelurahan Ujung Gurun, Kec. Padang Barat, Kota Padang - Sumatera Barat",figurnews18@gmail.com
463,sukabumiupdate.com,Siber,PURWANTO SETIADI,PURWANTO SETIADI,SAMUDERA MULTIMEDIA PERSADA,Jawa Barat,"Jalan Kenari Nomor 20, Kelurahan Selabatu, Kecamatan Cikole, Kota Sukabumi (43114)",sukabumiupdateredaksi@gmail.com
464,SKM GENTA,Cetak,Raja Isyam Aswar,Purnimasari,Genta Marwah Riau,Riau,"Gedung Graha Pena, Lantai 8 Ruang 808, Jalan HR Subrantas, Km 10.5 Panam - Pekanbaru",gentariau2019@gmail.com
465,minangkabaunews.com,Siber,Nurrahmat,Nurrahmat,Minangkabau Mediatama Mandiri,Sumatera Barat,"JL Padang Baru Timur XV No 16 A, Alai Parak Kopi, Padang Utara, Padang, Sumbar 25171",timredaksiminangkabaunews@gmail.com
466,liputansumsel.com,Siber,Aan Sartana,Ishak Nasroni,Liputan Sumsel Media,Sumatera Selatan,"Jln. Padat Karya Perum Vina sejahtera II Blok DD 15 A  Rt.05/09 Kelurahan Gunung Ibul, Kecamatan Prabumulih Timur, Kota Prabumulih ,Provinsi Sumatera Selatan",redaksikabarsumsel@gmail.com
467,GERBANG BANTEN,Cetak,Wisnu Bangun,Wisnu Bangun,BANGUN BANTEN AKTUAL,Banten,"Jl. Kalodran Lipatik Kel. Pager Agung Kec. Walantaka, Kota Serang - Provinsi Banten",redaksi.gerbangbanten@gmail.com
468,Haluanbanten.co.id,Siber,Lesman Bangun,Lesman Bangun, Haluan Bangun Banten,Banten,Jalan Kalodran Lipatik Kel Pager Agung Kec Walantaka Kota Serang Provinsi Banten,redaksi_haluanbanten@yahoo.co.id
469,pontas.id,Siber,Pahala Simanjuntak,Pahala Simanjuntak,Mediacitra Maju Indonesia,DKI Jakarta,"Jl. Kayumas Selatan no. 77, Pulogadung Jakarta Timur",pontasid@gmail.com
470,asarpua.com,Siber,TANIA DEPARI,TANIA DEPARI,ASARPUA SUKSES MEDIA,Sumatera Utara,"Jalan Bunga Sedap Malam XV No. 8 Medan Selayang, Medan",taniadepari202020@gmail.com
471,Harian Prabumulih Pos,Cetak,Ade Rosad,Ade Rosad,Citra Prabu Media,Sumatera Selatan,"Jl Jendral Sudirman No 172 Kelurahan Patih Galung Kecamatan Prabumulih Barat, Kota Prabumulih",aderosad@yahoo.com
472,Cirebonbagus.id,Siber,Dudung Abdul Hakim,Dudung Abdul Hakim,ARIF BAGUS TRANSMEDIA,Jawa Barat,"Komp. Bumi Linggahara No.3D, Jl. Brigjend Dharsono, Kertawinangun, Kedawung, Kab.Cirebon, Prov. Jawa Barat",cirebonbagusdotid@gmail.com
473,gpriority.co.id,Siber,Lukman A. Salendra,Lukman A. Salendra,Gemilang Larasati Nusantara,DKI Jakarta,"Jalan Howitzer Raya No,46, Sumur Batu,Kemayoran, Jakarta Pusat",info@gpriority.co.id
474,radarjombang.jawapos.com,Siber,SOFYAN HENDRA FATKHUROHMAN,SOFYAN HENDRA FATKHUROHMAN,JOMBANG INTERMEDIA PERS,Jawa Timur,JL AIRLANGGA NO 10 JOMBANG,radar.jombang@jawapos.com
475,padangmedia.com,Siber,Nita Indrawati,Nita Indrawati,Padang Media Press,Sumatera Barat,Jalan Legislatif no 39 Komp DPRD Lapai Nanggalo Padang,pimredpmed@gmail.com
476,radarkediri.id,Siber,MOCH. SUBECHI  NURCAHYO,MOCH. SUBECHI  NURCAHYO,KEDIRI INTERMEDIA PERS,Jawa Timur,JL. RAYA GAMPENG 45,radarkediri.online@gmail.com
477,radarmojokerto.jawapos.com,Siber,MUKAS KULUKI,MUKAS KULUKI,Mojokerto Intermedia Pers,Jawa Timur,Jl. R A Basuni 96 Jampirogo Sooko Mojokerto,radar_mojokerto@yahoo.com
478,Radar Lombok,Cetak,TONY EDY WIBOWO,TONY EDY WIBOWO,Selaparang Media Pratama,Nusa Tenggara Barat,JALAN PELIKAN NO. 3 PAJANG MATARAM,radarlombok25@gmail.com
479,topsumbar.co.id,Siber,SITI RAHMADANI HANIFAH,SITI RAHMADANI HANIFAH,UPDATE TOP MEDIA,Sumatera Barat,"Perumahan Gunung Sarik Permai Blok F5 RT.05 RW.02 Kel. Gunung Sarik, Kec. Kuranji Kota Padang",topsumbar@gmail.com
480,Lintasmedan.com,Siber,T. Nico Adrian,T. Nico Adrian,Sejati Lintas Info,Sumatera Utara,"Jln Eka Rasmi No. 74 Lingk VII, Medan Johor",irmayoune@yahoo.com
481,Panturapost.com,Siber,Muhammad Abduh,Muhammad Abduh,Pantura Siber Media,Jawa Tengah,"Jalan Raya Talang No. 375, Kabupaten Tegal",redaksipanturapost@gmail.com
482,Radar Kudus,Cetak,Ida Norlayla,Ida Norlayla,Kudus Intermedia Pers,Jawa Tengah,Jl. Lingkar Utara No. 17 Bacin Kudus,radarkudus@hotmail.com
483,Nawacitapost.com,Siber,Ariful Hakim,Ariful Hakim,Media Nawacita Indonesia,Jawa Barat,"Ruko Duta Permai Rhema Building, Lt. 3 No. 2 Jl. Raya Kalimalang, Jaka Permai, Bekasi Jawa Barat 17145 Indonesia.",nawacitamedia@yahoo.com
484,tribunjogja.com,Siber,Ribut Raharjo,Ribut Raharjo,Media Tribun Yogya,DI Yogyakarta,"Jl. Jend. Sudirman No.52 A, Kotabaru, Gondokusuman, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55224",tribunjogjadigital@gmail.com
485,biem.co,Siber,Ega Jalaludin,Ega Jalaludin,Banten Muda Kreasindo,Banten,Komplek KPKN Jl. Karya Bhakti 2A no. 99 Ciceri Kota Serang,redaksibiem@gmail.com
486,satubanten.com,Siber,Mohamad Hopip,Mohamad Hopip,BANTENESIA BERITA UTAMA,Banten,"Lingk. Cengkok Rt. 005/003, Kel, Banjaragung, Kec. Cipocok Jaya, Kota Serang, Banten 42122",koransatubanten@gmail.com
487,Koran Mimbar Umum,Cetak,Jalaluddin,Jalaluddin,Koran Mimbar Umum,Sumatera Utara,"Jalan Pancasila No.2 simpang Jalan Denai, Kelurahan Tegalsari Mandala III, Kec. Medan Denai, Kota Medan, Prov. Sumatera Utara",rinla_gusti@yahoo.com
488,inimedan.com,Siber,A R I A D I,A R I A D I,MEDIA KELUARGA MANDIRI,Sumatera Utara,Jln.Marelan I Pasar IV Barat Kelurahan Terjun No.10 Lk-VII Medan Marelan-20256,inimedancom@gmail.com
489,Urbanasia.com,Siber,Ken Yunita,Ken Yunita,KAI Trimedia Investama,DKI Jakarta,"Menara Batavia Lt. 12A Jl. K.H. Mas Mansyur No. Kav. 126, Karet Tengsin, Kec. Tanah Abang",admin@urbanasia.com
490,Radar Pekalongan,Cetak,Widodo Lukito,Widodo Lukito,Wahana Semesta Pekalongan,Jawa Tengah,Jl Binagriya Raya B. 1 No 9 Kelurahan Bumirejo Kecamatan Pekalongan Barat Kota Pekalongan,asepradar@gmail.com
